code,name,hours_fleurs,hours_xlsr,hours_xlsr_pretrain,hours_vl107,hours_cv,hours_mls,hours_babel,hours_voxpopuli
ka,Georgian,7.978866666666667,127.0,291.6,98.0,3.6,,190.0,
kab,Kabyle,,520.0,525.45,,525.45,,,
kam,Kamba,16.599916666666665,,,,,,,
kea,Kabuverdianu,13.297755555555556,,,,,,,
kk,Kazakh,16.588083333333334,98.0,281.0,78.0,,,203.0,
km,Khmer,9.844066666666667,33.0,41.0,41.0,,,,
kmr,Kurmanji,,38.0,203.0,,,,203.0,
kn,Kannada,12.5594,36.0,46.0,46.0,,,,
ko,Korean,10.00455,61.0,77.0,77.0,,,,
ky,Kyrgyz,12.95685,11.0,11.94,,11.94,,,
la,Latin,,53.0,67.0,67.0,,,,
lb,Luxembourgish,9.826833333333333,60.0,75.0,75.0,,,,
lg,Luganda,15.053766666666666,3.0,3.24,,3.24,,,
ln,Lingala,16.817716666666666,72.0,90.0,90.0,,,,
lo,Lao,9.067566666666666,93.0,249.0,42.0,,,207.0,
lt,Lithuanian,9.5768,14423.0,14484.38,82.0,2.38,,,14400.0
luo,Luo,10.150866666666667,,,,,,,
lv,Latvian,10.381716666666666,13126.0,13148.07,42.0,6.07,,,13100.0
mg,Malagasy,,87.0,109.0,109.0,,,,
mi,Maori,21.313188888888888,27.0,34.0,34.0,,,,
mk,Macedonian,10.482916666666666,89.0,112.0,112.0,,,,
ml,Malayalam,15.1693,38.0,47.0,47.0,,,,
mn,Mongolian,12.707933333333333,68.0,82.38,71.0,11.38,,,
mr,Marathi,17.08415,68.0,85.0,85.0,,,,
ms,Malay,12.636716666666667,66.0,83.0,83.0,,,,
mt,Maltese,10.3671,9120.0,9173.56,66.0,7.56,,,9100.0
my,Myanmar (Burmese),15.866294444444444,33.0,41.0,41.0,,,,
ne,Nepali,14.324033333333333,58.0,72.0,72.0,,,,
nl,Dutch,9.062666666666667,20070.0,20653.71,40.0,59.47,1554.24,,19000.0
no,Norwegian,9.464083333333333,130.0,164.0,164.0,,,,
nso,Sepedi,12.95815,,,,,,,
ny,Chichewa,14.41465,,,,,,,
oc,Occitan,19.104483333333334,12.0,15.0,15.0,,,,
om,Oromo,6.679366666666667,,,,,,,
or,Odia,7.233366666666667,1.0,0.87,,0.87,,,
pa,Punjabi,8.331816666666667,43.0,54.5,54.0,0.5,,,
pl,Polish,12.028983333333333,20912.0,21492.35,80.0,108.7,103.65,,21200.0
ps,Pashto,9.698816666666668,109.0,291.0,47.0,,,244.0,
pt,Portuguese,14.412366666666667,17797.0,17775.66,64.0,50.7,160.96,,17500.0
rm,Romansh Sursilvan,,8.0,7.87,,7.87,,,
ro,Romanian,13.683933333333334,17515.0,17971.73,65.0,6.73,,,17900.0
ru,Russian,11.127516666666667,166.0,184.05,73.0,111.05,,,
rw,Kinyarwanda,,1199.0,1183.62,,1183.62,,,
sa,Sanskrit,,12.0,15.0,15.0,,,,
sah,Sakha,,4.0,4.33,,4.33,,,
sco,Scots,,2.0,3.0,3.0,,,,
sd,Sindhi,15.475633333333333,67.0,84.0,84.0,,,,
si,Sinhala,,54.0,67.0,67.0,,,,
sk,Slovak,9.40045,11925.0,12140.0,40.0,,,,12100.0
sl,Slovenian,9.38385,11210.0,11426.09,121.0,5.09,,,11300.0
sn,Shona,11.6668,24.0,30.0,30.0,,,,
so,Somali,14.5813,82.0,103.0,103.0,,,,
sq,Albanian,,56.0,71.0,71.0,,,,
sr,Serbian,13.345122222222223,40.0,50.0,50.0,,,,
su,Sundanese,,51.0,64.0,64.0,,,,
sv,Swedish,11.53346111111111,16325.0,16346.06,34.0,12.06,,,16300.0
sw,Swahili,13.480966666666667,91.0,414.0,64.0,,,350.0,
ta,Tamil,11.771461111111112,118.0,415.98,51.0,14.98,,350.0,
te,Telugu,10.1567,62.0,77.0,77.0,,,,
tg,Tajik,6.3998333333333335,51.0,64.0,64.0,,,,
th,Thai,12.9919,57.0,69.53999999999999,61.0,8.54,,,
tk,Turkmen,,68.0,85.0,85.0,,,,
tl,Tagalog,13.765466666666667,150.0,306.0,93.0,,,213.0,
tpi,Tok,,36.0,200.0,,,,200.0,
tr,Turkish,11.954966666666667,136.0,292.27,59.0,20.27,,213.0,
tt,Tatar,,107.0,129.63,103.0,26.63,,,
uk,Ukrainian,11.488283333333333,72.0,82.88,52.0,30.88,,,
umb,Umbundu,8.375883333333332,,,,,,,
ur,Urdu,8.17225,34.0,42.0,42.0,,,,
uz,Uzbek,14.0332,36.0,45.0,45.0,,,,
vi,Vietnamese,13.121433333333334,131.0,265.74,64.0,0.74,,201.0,
vot,Votic,,0.5,0.0,,0.0,,,
war,Waray,,9.0,11.0,11.0,,,,
wo,Wolof,8.2626,,,,,,,
xh,Xhosa,10.094016666666667,,,,,,,
yi,Yiddish,,37.0,46.0,46.0,,,,
yo,Yoruba,14.82585,75.0,94.0,94.0,,,,
yue,Yue Chinese,9.3321,130.0,215.0,,,,215.0,
zu,Zulu,16.617583333333332,56.0,211.0,,,,211.0,
