split_id,propn,PERSON,NORP,FAC,ORG,GPE,LOC,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,n_noun,n_adj,n_adp,n_det,n_pron,n_verb,n_adv,n_intj,n_total,f_score
dev_1554,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2,0,0,10,45.0000
dev_1531,1,0,0,0,0,0,1,0,0,0,0,0,1,2,3,3,0,0,0,0,16,78.1250
dev_1513,1,0,0,0,0,1,0,0,0,0,0,0,4,1,3,2,0,2,1,0,18,69.4444
dev_1659,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,2,0,0,11,72.7273
dev_1564,1,1,0,0,0,0,0,0,0,0,0,0,6,1,2,3,0,2,0,0,24,70.8333
dev_1612,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,0,1,0,0,13,80.7692
dev_1545,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,0,1,0,0,19,71.0526
dev_1550,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,2,0,4,1,0,28,71.4286
dev_1594,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,1,0,3,1,0,23,67.3913
dev_1623,1,1,0,0,0,0,0,0,0,0,0,0,5,3,1,4,2,3,3,0,29,58.6207
dev_1570,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,1,2,1,0,14,60.7143
dev_1608,1,1,0,0,0,0,0,0,0,0,0,0,6,1,2,0,6,5,2,0,33,43.9394
dev_1631,1,0,1,0,0,1,0,0,0,0,0,0,3,2,2,1,2,1,2,0,20,57.5000
dev_1586,1,1,0,0,0,0,0,0,0,0,0,0,4,3,3,4,4,3,0,0,31,61.2903
dev_1599,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,2,4,0,18,50.0000
dev_1597,1,0,0,0,1,1,0,0,0,0,0,0,4,1,5,3,1,2,0,0,23,71.7391
dev_1511,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,2,0,3,1,0,18,69.4444
dev_1582,1,0,0,0,0,0,0,0,0,0,0,1,3,2,3,3,0,1,0,0,14,85.7143
dev_1617,1,0,0,0,1,1,1,0,0,0,0,0,6,1,6,7,0,2,0,0,41,71.9512
dev_1656,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,2,2,0,15,50.0000
dev_1614,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,1,4,5,6,0,35,48.5714
dev_1636,1,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,1,2,0,0,12,62.5000
dev_1654,1,0,0,0,0,0,1,0,0,0,0,0,3,2,3,2,3,3,0,0,27,57.4074
dev_1606,1,0,1,0,1,0,0,0,0,0,0,0,2,0,3,3,3,3,1,0,23,52.1739
dev_1539,1,0,0,0,0,0,0,0,0,0,0,0,7,2,3,2,2,2,1,0,26,67.3077
dev_1581,1,0,0,0,1,0,1,0,0,0,0,0,3,2,2,2,0,0,1,0,16,75.0000
dev_1641,0,0,1,0,0,0,0,0,0,0,0,0,5,3,2,4,3,4,3,0,28,57.1429
dev_1519,0,0,0,0,0,0,0,0,0,0,0,0,8,2,5,1,2,3,3,0,28,64.2857
dev_1575,1,0,0,0,0,1,0,0,0,0,0,0,6,3,3,4,0,4,2,0,30,66.6667
dev_1620,1,0,1,0,0,0,0,0,0,0,0,0,10,5,2,4,0,3,4,0,40,67.5000
dev_1565,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,4,0,3,1,0,27,75.9259
dev_1537,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,3,3,3,0,0,20,57.5000
dev_1657,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,3,0,1,3,0,20,65.0000
dev_1529,1,1,0,0,1,0,0,0,0,0,0,0,4,1,2,1,3,2,1,0,26,53.8462
dev_1643,0,1,0,0,0,0,0,0,0,0,0,0,4,2,1,1,1,3,0,0,18,61.1111
dev_1552,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,0,2,0,0,13,73.0769
dev_1566,0,0,1,0,0,0,0,0,0,0,0,0,4,2,3,0,3,2,1,0,19,57.8947
dev_1616,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,3,2,3,1,0,30,68.3333
dev_1522,0,0,0,0,0,0,0,0,0,0,0,0,11,2,3,2,1,4,0,0,30,71.6667
dev_1560,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,2,5,0,19,42.1053
dev_1588,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,3,1,3,0,0,20,70.0000
dev_1516,1,0,1,0,0,0,0,0,1,0,0,0,5,0,3,3,2,3,0,1,26,59.6154
dev_1587,1,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,0,1,0,0,14,82.1429
dev_1615,1,0,0,0,1,0,1,0,0,0,0,0,3,0,2,3,0,3,1,0,19,60.5263
dev_1574,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,3,2,5,2,0,30,56.6667
dev_1600,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,1,0,4,0,0,26,69.2308
dev_1585,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,2,2,4,2,0,27,57.4074
dev_1591,1,1,0,0,1,1,0,0,0,0,0,0,2,4,1,0,0,1,1,0,27,59.2593
dev_1542,1,1,1,0,0,1,0,0,0,0,0,0,6,3,3,4,0,2,0,0,27,75.9259
dev_1644,1,1,0,0,0,0,0,0,0,0,0,0,3,1,2,2,4,6,2,0,33,43.9394
dev_1650,1,1,0,0,0,1,0,0,0,0,0,0,4,1,3,1,1,1,2,0,21,61.9048
dev_1563,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,5,1,2,2,0,28,66.0714
dev_1532,1,1,0,0,0,1,0,0,0,0,0,0,7,2,5,0,1,2,0,0,37,64.8649
dev_1642,1,0,1,0,0,1,0,0,0,0,0,0,5,1,5,4,1,1,0,0,21,80.9524
dev_1514,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,5,1,7,1,0,32,59.3750
dev_1553,1,1,1,0,0,0,0,0,0,0,0,0,2,1,4,2,0,1,1,0,20,67.5000
dev_1526,1,0,0,0,0,0,1,0,0,0,0,0,5,2,2,5,3,4,0,0,30,61.6667
dev_1510,1,0,0,0,1,0,0,0,0,0,0,0,4,1,2,3,0,5,1,0,21,59.5238
dev_1625,1,1,0,0,0,0,0,0,0,0,0,0,5,2,2,1,0,1,0,0,18,75.0000
dev_1515,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,10,60.0000
dev_1595,1,1,0,0,1,1,1,0,0,0,0,0,5,0,7,4,0,2,0,0,30,73.3333
dev_1604,1,1,1,0,1,1,0,0,1,0,0,0,8,3,5,5,2,5,1,0,54,62.0370
dev_1549,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,2,4,0,0,20,55.0000
dev_1579,1,0,0,0,0,1,0,0,0,0,0,0,8,1,4,4,1,4,0,0,30,70.0000
dev_1611,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,2,0,2,1,0,22,70.4545
dev_1637,1,1,0,1,0,1,0,0,0,1,0,0,7,5,5,4,1,1,1,0,55,66.3636
dev_1635,0,0,0,0,1,0,0,0,0,0,0,0,6,3,4,4,3,4,2,0,35,61.4286
dev_1598,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,2,2,0,0,19,60.5263
dev_1649,1,0,0,0,1,1,0,0,0,0,0,0,6,2,5,4,1,1,1,0,27,75.9259
dev_1645,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,2,1,0,12,50.0000
dev_1541,0,0,0,0,1,0,0,0,0,0,0,0,9,3,3,1,0,2,4,0,29,67.2414
dev_1534,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,0,0,23,63.0435
dev_1639,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0,5,2,0,22,52.2727
dev_1530,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,3,0,0,20,57.5000
dev_1543,1,0,0,0,0,1,0,0,0,0,0,0,3,0,2,3,0,1,0,0,17,70.5882
dev_1603,1,0,0,0,0,1,0,0,0,0,0,0,4,3,2,1,3,3,1,0,23,56.5217
dev_1632,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,3,5,0,0,30,51.6667
dev_1576,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,3,0,2,4,0,20,62.5000
dev_1524,0,0,0,0,0,0,0,0,0,0,0,0,12,5,7,6,1,2,0,0,40,83.7500
dev_1527,1,1,0,1,1,1,0,0,0,0,0,0,4,0,2,2,0,5,2,0,38,51.3158
dev_1556,1,1,1,0,1,0,0,0,0,1,0,0,2,3,5,2,2,1,0,0,31,64.5161
dev_1567,1,0,0,0,0,1,0,0,0,0,0,0,5,1,4,3,0,1,0,0,18,83.3333
dev_1572,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,1,0,1,0,0,14,82.1429
dev_1583,0,0,0,0,0,0,0,0,0,0,0,0,8,4,6,3,2,4,0,0,33,72.7273
dev_1592,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,1,4,3,0,25,52.0000
dev_1517,1,0,0,0,0,1,0,0,0,0,0,0,4,1,1,0,1,4,0,0,14,53.5714
dev_1573,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,5,1,2,2,0,33,72.7273
test_1980,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,2,1,0,21,61.9048
test_1914,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,1,4,0,0,18,55.5556
test_1771,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,3,2,4,2,0,31,59.6774
test_1669,1,1,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,3,0,0,15,66.6667
test_1949,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,3,0,1,0,0,17,88.2353
test_1832,1,0,0,0,0,1,0,0,0,0,0,0,15,1,0,0,0,1,0,0,29,75.8621
test_1915,1,1,0,0,1,0,0,0,0,0,0,0,5,3,2,2,1,2,0,0,30,65.0000
test_1699,1,1,0,0,0,0,0,0,0,0,0,0,9,0,6,2,0,4,0,0,30,71.6667
test_1673,1,0,0,0,1,0,0,0,1,0,0,0,3,3,4,5,1,1,1,0,29,70.6897
test_1877,1,0,1,0,0,1,0,0,0,0,0,0,7,2,2,1,1,1,1,0,33,63.6364
test_1860,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,2,0,0,13,69.2308
test_1935,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,4,2,1,0,26,55.7692
test_1674,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,2,0,2,0,0,18,77.7778
test_1675,1,1,0,0,0,0,0,0,0,0,0,0,6,0,5,5,1,1,2,0,25,74.0000
test_1728,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,2,0,2,0,0,18,72.2222
test_1798,1,0,0,0,1,0,0,0,0,0,0,0,8,1,3,3,1,3,2,0,28,66.0714
test_1924,1,0,0,1,0,0,0,0,0,0,0,0,7,1,4,4,1,4,0,0,32,67.1875
test_1684,1,1,0,0,1,0,0,0,0,0,0,0,4,0,5,4,0,1,1,0,24,72.9167
test_1936,1,1,0,0,0,1,0,0,0,0,0,0,7,0,6,5,4,8,2,0,52,53.8462
test_1661,1,0,0,0,0,1,0,0,0,0,0,0,3,1,2,2,2,4,0,0,22,54.5455
test_1721,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,1,3,0,0,21,64.2857
test_1869,0,0,0,0,0,0,0,0,0,0,0,0,8,4,7,3,6,4,0,0,39,65.3846
test_1893,1,1,1,0,0,0,0,0,0,0,0,0,7,3,3,5,0,1,0,0,29,79.3103
test_1735,1,1,0,0,1,1,0,0,0,0,0,0,11,4,7,5,0,4,2,0,55,69.0909
test_1996,1,1,0,0,1,1,0,0,0,0,0,0,4,1,2,2,0,4,1,0,28,57.1429
test_1866,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,2,0,2,2,0,19,65.7895
test_1742,1,0,0,0,0,1,0,0,0,0,0,0,5,2,2,3,2,2,0,0,24,66.6667
test_1977,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,0,0,1,1,0,22,72.7273
test_1967,1,0,0,0,1,0,0,0,0,0,0,0,7,5,6,5,0,2,0,0,35,80.0000
test_1975,1,0,0,0,0,1,0,0,0,0,0,0,5,3,3,4,1,0,0,0,25,78.0000
test_1871,1,0,0,0,0,0,1,0,0,0,0,0,2,2,2,3,0,0,1,0,16,75.0000
test_1770,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,4,0,0,19,36.8421
test_1819,1,0,0,0,1,1,0,0,0,0,0,0,7,3,3,4,1,2,0,0,28,75.0000
test_1897,1,1,0,0,0,0,1,0,0,0,0,0,4,0,4,5,0,1,0,0,22,77.2727
test_1816,1,1,0,0,0,0,0,0,0,0,0,0,5,2,2,2,2,2,0,0,26,63.4615
test_1901,1,0,0,0,0,1,0,0,0,0,0,0,9,3,4,3,0,4,1,0,32,71.8750
test_1826,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,3,2,0,16,50.0000
test_1820,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,3,3,0,17,55.8824
test_1899,1,1,0,0,0,0,0,0,0,0,0,0,5,2,6,3,2,3,1,0,38,63.1579
test_1874,1,0,0,0,1,0,1,0,0,0,0,0,4,3,1,6,1,4,1,0,33,62.1212
test_1664,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,1,2,2,0,20,62.5000
test_1903,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,3,0,1,1,0,21,76.1905
test_1803,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,3,2,3,0,0,23,67.3913
test_1991,1,0,1,0,1,0,0,0,0,0,0,0,3,3,3,2,1,2,0,0,22,68.1818
test_1731,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,1,1,0,13,61.5385
test_1884,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,2,4,1,0,22,52.2727
test_1872,1,1,0,0,0,0,0,0,0,0,0,0,7,2,6,6,0,2,0,0,30,81.6667
test_1876,1,0,0,0,1,0,0,0,0,0,0,0,5,0,1,3,1,3,0,0,17,64.7059
test_1687,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,2,0,0,2,0,16,75.0000
test_1857,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,4,4,1,0,28,46.4286
test_1783,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,1,0,0,18,77.7778
test_1759,1,0,1,0,0,1,0,0,0,0,0,0,7,1,6,5,0,2,4,0,43,65.1163
test_1753,1,0,0,0,0,1,0,0,0,0,0,0,3,4,5,2,5,5,6,0,49,47.9592
test_1744,1,1,0,0,0,0,0,0,0,0,0,0,4,3,2,2,2,0,1,0,17,73.5294
test_1797,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,2,3,1,0,16,53.1250
test_1700,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,0,12,79.1667
test_1802,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,1,0,0,11,72.7273
test_1953,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,0,11,45.4545
test_1690,1,0,0,0,1,0,0,0,0,0,0,0,8,1,6,2,4,3,3,0,38,59.2105
test_1835,1,0,0,0,0,1,0,0,0,0,0,0,9,0,1,5,0,4,0,0,32,67.1875
test_1836,0,0,0,0,0,0,0,0,0,0,0,0,9,6,6,0,3,2,1,0,39,69.2308
test_1963,0,0,0,0,0,0,0,0,0,0,0,0,6,5,2,2,1,4,1,0,30,65.0000
test_1752,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,2,0,4,0,0,23,63.0435
test_1948,1,0,0,0,1,0,0,0,0,0,0,0,7,3,6,4,0,2,0,0,32,78.1250
test_1786,1,0,0,0,0,0,0,0,0,0,0,0,4,1,4,3,1,3,0,0,23,67.3913
test_1838,1,1,0,0,0,0,0,0,0,0,0,0,2,1,2,3,1,1,1,0,19,63.1579
test_1793,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,3,3,0,0,28,62.5000
test_1926,1,0,0,0,1,0,0,0,0,0,0,0,4,0,2,1,0,1,0,0,14,71.4286
test_1929,1,1,0,0,0,0,0,0,0,0,0,0,4,2,2,3,1,3,1,0,24,62.5000
test_1867,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,3,5,2,0,25,44.0000
test_1818,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,2,1,0,16,62.5000
test_1997,1,0,0,0,1,1,0,0,0,0,0,0,6,4,7,4,0,2,2,0,37,72.9730
test_1727,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,3,1,0,17,58.8235
test_1697,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,3,4,0,0,21,47.6190
test_1711,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,3,8,7,0,0,35,48.5714
test_1895,1,0,1,0,0,0,1,0,0,0,0,0,2,3,3,1,2,3,0,0,20,60.0000
test_1905,1,0,1,0,1,0,0,0,0,0,0,0,2,2,1,2,0,1,1,0,19,63.1579
test_2002,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,2,1,3,0,0,20,70.0000
test_1694,1,0,0,0,1,0,0,0,0,0,0,0,5,1,5,1,1,3,1,0,25,64.0000
test_1739,1,0,0,0,0,1,0,0,0,0,0,0,5,0,6,5,0,2,2,0,25,74.0000
test_1709,1,0,0,0,0,1,1,0,0,0,0,0,4,3,5,5,1,1,2,0,27,74.0741
test_1670,1,1,0,0,1,1,1,0,0,0,0,0,5,6,7,3,4,3,3,0,59,59.3220
test_1738,1,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,4,2,2,0,24,54.1667
test_1680,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,4,0,3,2,0,32,67.1875
test_1847,1,1,0,0,0,1,0,0,0,0,0,0,3,0,2,1,1,2,0,0,27,55.5556
test_1959,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,1,0,3,1,0,19,65.7895
test_1726,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,5,2,2,2,0,31,67.7419
test_1766,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,3,4,0,0,19,52.6316
test_1814,1,0,0,0,1,0,0,0,0,0,0,0,7,0,2,0,3,3,0,0,24,56.2500
test_1950,1,0,1,0,1,0,0,0,0,0,0,0,6,5,7,3,2,2,0,0,34,75.0000
test_1779,1,1,1,0,1,0,0,0,0,0,0,0,3,1,1,2,0,2,0,0,17,64.7059
test_1805,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,14,46.4286
test_1662,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,2,1,2,1,0,24,66.6667
test_1787,0,0,0,0,0,1,0,0,0,0,0,0,6,1,1,2,1,4,1,0,21,59.5238
test_1922,1,0,1,0,0,0,0,0,0,0,0,0,3,6,2,2,2,1,1,0,25,68.0000
test_1666,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1,4,3,1,0,24,54.1667
test_1904,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,2,0,1,2,0,22,70.4545
test_1945,1,0,0,0,0,1,0,0,0,0,0,0,1,1,3,1,1,1,1,0,15,60.0000
test_1931,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,1,1,3,3,0,24,60.4167
test_1902,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,13,50.0000
test_1965,1,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,2,2,1,0,19,60.5263
test_1679,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,0,0,10,45.0000
test_1688,0,0,0,0,0,0,0,0,0,0,0,0,11,1,3,3,4,5,1,0,41,59.7561
test_1799,1,1,0,1,0,0,0,0,0,0,0,0,2,1,3,1,0,1,0,0,15,70.0000
test_1841,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,4,1,4,2,0,33,65.1515
test_1880,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,1,1,1,0,16,68.7500
test_1701,1,0,0,0,0,1,1,0,0,0,0,0,2,0,2,1,0,2,3,0,18,50.0000
test_1810,1,1,0,0,0,1,0,0,0,0,0,0,7,1,3,2,1,2,0,0,22,72.7273
test_1791,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,3,0,0,13,57.6923
test_1764,1,0,0,0,0,1,0,0,0,0,0,0,4,3,3,2,2,1,1,0,27,64.8148
test_1813,1,0,1,0,0,1,0,0,0,0,0,1,3,2,0,2,2,4,2,0,29,48.2759
test_1707,1,0,1,0,0,1,0,0,0,0,0,0,2,2,3,2,2,1,0,0,25,62.0000
