"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16"
"Danish",9.99008e-05,0.433407,9.99008e-05,9.99008e-05,9.99008e-05,0.468877,0.00295239,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.0213571,0.0723075,9.99008e-05,9.99008e-05
"German",9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,0.965444,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,0.0331582,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05
"Spanish",9.98919e-05,0.0155195,9.98919e-05,9.98919e-05,9.98919e-05,0.0198133,9.98919e-05,0.00772793,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,0.955741,9.98919e-05,9.98919e-05,9.98919e-05
"French",9.99008e-05,0.0502534,9.99008e-05,9.99008e-05,9.99008e-05,0.0790426,9.99008e-05,9.99008e-05,0.227972,0.50665,9.99008e-05,9.99008e-05,0.134983,9.99008e-05,9.99008e-05,9.99008e-05
"Irish",9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,0.0663478,0.00151055,9.98827e-05,0.930843,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05
"Galician",9.98919e-05,0.00971758,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,0.913975,9.98919e-05,0.0284057,0.046703
"Gujarati",0.00584356,9.98827e-05,0.938281,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,0.0545766,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05
"Croatian",0.094602,9.9919e-05,0.0124784,9.9919e-05,9.9919e-05,0.0195262,9.9919e-05,0.023989,9.9919e-05,9.9919e-05,9.9919e-05,0.83843,9.9919e-05,0.00814654,9.9919e-05,0.00192843
"Armenian",0.998502,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05
"Icelandic",9.98602e-05,9.98602e-05,9.98602e-05,9.98602e-05,9.98602e-05,9.98602e-05,0.998502,9.98602e-05,9.98602e-05,9.98602e-05,9.98602e-05,9.98602e-05,9.98602e-05,9.98602e-05,9.98602e-05,9.98602e-05
"Italian",9.99008e-05,0.117168,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.0338087,9.99008e-05,0.612772,9.99008e-05,0.0148984,0.220254,9.99008e-05,9.99008e-05,9.99008e-05
"Kabuverdianu",9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,0.00795826,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,0.970885,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,0.0198579
"Luxembourgish",9.98738e-05,9.98738e-05,0.0861804,9.98738e-05,9.98738e-05,0.912421,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05
"Lithuanian",9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,0.83001,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,0.168592
"Latvian",9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,0.955517,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,0.0125429,0.0306419,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05
"Macedonian",9.98826e-05,9.98826e-05,0.0598184,0.00911339,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,0.92977
"Marathi",9.98917e-05,9.98917e-05,0.44745,9.98917e-05,9.98917e-05,0.0376402,9.98917e-05,9.98917e-05,9.98917e-05,9.98917e-05,9.98917e-05,9.98917e-05,9.98917e-05,0.468558,0.0451527,9.98917e-05
"Norwegian",9.9865e-05,0.998502,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05
"Nepali",9.98919e-05,9.98919e-05,0.915213,0.0547364,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,0.0216645,9.98919e-05,0.00718698,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05
"Dutch",9.99279e-05,9.99279e-05,0.0299208,0.106254,0.0592387,0.318747,9.99279e-05,0.084418,9.99279e-05,0.158517,0.194877,9.99279e-05,9.99279e-05,9.99279e-05,0.0472276,9.99279e-05
"Occitan",9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,0.0097618,9.98918e-05,9.98918e-05,0.116859,0.614333,9.98918e-05,9.98918e-05,0.257847,9.98918e-05,9.98918e-05,9.98918e-05
"Oriya",9.98823e-05,9.98823e-05,0.443757,0.516429,9.98823e-05,9.98823e-05,9.98823e-05,9.98823e-05,9.98823e-05,9.98823e-05,9.98823e-05,9.98823e-05,9.98823e-05,0.0385148,9.98823e-05,9.98823e-05
"Punjabi",9.99007e-05,9.99007e-05,0.165014,9.99007e-05,0.0933331,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,0.0631177,0.000337472,9.99007e-05,9.99007e-05,0.677099,9.99007e-05,9.99007e-05
"Polish",9.9883e-05,9.9883e-05,9.9883e-05,9.9883e-05,9.9883e-05,0.0562548,9.9883e-05,0.858687,9.9883e-05,9.9883e-05,9.9883e-05,9.9883e-05,9.9883e-05,9.9883e-05,0.0837594,9.9883e-05
"Pashto",9.98917e-05,9.98917e-05,0.0820585,9.98917e-05,9.98917e-05,9.98917e-05,9.98917e-05,9.98917e-05,0.485159,9.98917e-05,9.98917e-05,9.98917e-05,9.98917e-05,0.401328,0.0302553,9.98917e-05
"Portuguese",9.99008e-05,9.99008e-05,0.0338265,9.99008e-05,0.113662,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.702334,0.0821814,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.0668976
"Romanian",0.294342,9.99008e-05,0.0148084,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.0468359,9.99008e-05,0.583901,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.0590137,9.99008e-05
"Russian",9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,0.00723566,9.98828e-05,0.980897,0.0105693
"Sindhi",9.9892e-05,9.9892e-05,9.9892e-05,9.9892e-05,0.00967976,9.9892e-05,9.9892e-05,0.0117475,0.0281044,9.9892e-05,9.9892e-05,9.9892e-05,9.9892e-05,0.94927,9.9892e-05,9.9892e-05
"Slovak",0.010103,9.98918e-05,9.98918e-05,9.98918e-05,0.00633556,9.98918e-05,9.98918e-05,0.951055,9.98918e-05,9.98918e-05,9.98918e-05,0.0313074,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05
"Slovenian",0.065999,9.99188e-05,9.99188e-05,9.99188e-05,0.0954524,0.0423769,9.99188e-05,0.218974,9.99188e-05,9.99188e-05,9.99188e-05,0.153629,9.99188e-05,0.0118917,9.99188e-05,0.410777
"Serbian",9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,0.950471,9.98828e-05,9.98828e-05,0.00532737,0.0429035
"Swedish",9.99008e-05,0.946777,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.0166022,9.99008e-05,0.0156249,0.0179557,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.00194088
"Tajik",9.98738e-05,9.98738e-05,9.98738e-05,0.101865,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,0.896737,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05
"Ukrainian",0.0358664,0.0613414,9.99187e-05,9.99187e-05,0.0288704,9.99187e-05,9.99187e-05,0.153107,9.99187e-05,9.99187e-05,9.99187e-05,9.99187e-05,9.99187e-05,0.0509958,0.565204,0.103716
"Persian",0.165031,9.98915e-05,9.98915e-05,0.149287,9.98915e-05,9.98915e-05,9.98915e-05,9.98915e-05,0.616432,9.98915e-05,0.068051,9.98915e-05,9.98915e-05,9.98915e-05,9.98915e-05,9.98915e-05
"Greek",9.9919e-05,9.9919e-05,9.9919e-05,0.0410188,0.14943,9.9919e-05,9.9919e-05,9.9919e-05,0.0517322,0.0813757,9.9919e-05,9.9919e-05,0.294256,0.108532,9.9919e-05,0.272755
"Urdu",9.98828e-05,9.98828e-05,9.98828e-05,0.0163961,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,0.0569307,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,0.925375,9.98828e-05,9.98828e-05
"English",9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.00684589,9.99008e-05,9.99008e-05,9.99008e-05,0.0667519,0.798793,0.0846325,9.99008e-05,9.99008e-05,9.99008e-05,0.0418777
"Hindi",9.99098e-05,0.0409135,0.12885,0.0169771,9.99098e-05,9.99098e-05,0.00354845,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,0.805779,9.99098e-05,0.00293275
