"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15"
"Danish",9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,0.04738,0.635783,0.083838,9.99007e-05,0.2319,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05
"German",0.0483864,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,0.0412881,0.87815,9.99097e-05,9.99097e-05,9.99097e-05,0.0262247,0.00495201,9.99097e-05,9.99097e-05,9.99097e-05
"Spanish",9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,0.922712,9.99009e-05,9.99009e-05,9.99009e-05,0.00555302,0.00900368,9.99009e-05,9.99009e-05,9.99009e-05,0.0616327
"French",9.98918e-05,9.98918e-05,9.98918e-05,0.00905174,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,0.048933,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,0.940817
"Irish",9.99098e-05,9.99098e-05,0.00381211,9.99098e-05,9.99098e-05,9.99098e-05,0.633247,0.000859422,9.99098e-05,9.99098e-05,0.0991512,9.99098e-05,9.99098e-05,0.261932,9.99098e-05
"Galician",0.00617311,0.0326918,9.99099e-05,0.0198546,9.99099e-05,0.920914,9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05,0.0193676,9.99099e-05,9.99099e-05,9.99099e-05
"Gujarati",0.0627877,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,0.935914,9.98826e-05,9.98826e-05
"Croatian",0.772703,9.9919e-05,0.0765684,9.9919e-05,9.9919e-05,0.0350946,9.9919e-05,9.9919e-05,9.9919e-05,9.9919e-05,0.0711674,0.0304464,9.9919e-05,9.9919e-05,0.0131213
"Armenian",9.98736e-05,9.98736e-05,0.998602,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05
"Icelandic",9.98702e-05,9.98702e-05,9.98702e-05,9.98702e-05,9.98702e-05,9.98702e-05,9.98702e-05,9.98702e-05,0.998602,9.98702e-05,9.98702e-05,9.98702e-05,9.98702e-05,9.98702e-05,9.98702e-05
"Italian",9.99098e-05,0.490792,9.99098e-05,9.99098e-05,9.99098e-05,0.337857,9.99098e-05,9.99098e-05,9.99098e-05,0.0726475,0.0437888,9.99098e-05,9.99098e-05,9.99098e-05,0.0539157
"Kabuverdianu",9.98915e-05,0.929433,9.98915e-05,9.98915e-05,9.98915e-05,0.0203339,9.98915e-05,9.98915e-05,9.98915e-05,9.98915e-05,9.98915e-05,9.98915e-05,9.98915e-05,9.98915e-05,0.0490347
"Luxembourgish",9.9919e-05,0.0295327,9.9919e-05,9.9919e-05,9.9919e-05,9.9919e-05,0.759881,9.9919e-05,9.9919e-05,9.9919e-05,0.0323123,0.0620127,0.0842161,9.9919e-05,0.031146
"Lithuanian",9.99279e-05,0.250944,9.99279e-05,0.145301,9.99279e-05,9.99279e-05,0.115116,9.99279e-05,9.99279e-05,0.0610352,9.99279e-05,0.342084,0.0573133,0.027407,9.99279e-05
"Latvian",0.171069,0.119102,9.99188e-05,0.0918987,9.99188e-05,9.99188e-05,0.31416,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,0.225418,0.0774534,9.99188e-05
"Macedonian",9.9885e-05,9.9885e-05,9.9885e-05,9.9885e-05,0.0605225,9.9885e-05,9.9885e-05,9.9885e-05,9.9885e-05,9.9885e-05,9.9885e-05,0.938179,9.9885e-05,9.9885e-05,9.9885e-05
"Marathi",9.98918e-05,9.98918e-05,9.98918e-05,0.0419101,9.98918e-05,9.98918e-05,9.98918e-05,0.493771,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,0.46312,9.98918e-05,9.98918e-05
"Norwegian",9.98739e-05,9.98739e-05,9.98739e-05,9.98739e-05,9.98739e-05,9.98739e-05,9.98739e-05,9.98739e-05,9.98739e-05,0.998602,9.98739e-05,9.98739e-05,9.98739e-05,9.98739e-05,9.98739e-05
"Nepali",9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.128384,9.99008e-05,0.00351783,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.858877,0.00812285,9.99008e-05
"Dutch",9.994e-05,0.0308079,9.994e-05,0.00711057,0.0507261,0.0107979,0.543584,9.994e-05,9.994e-05,9.994e-05,0.116567,9.994e-05,0.0915136,0.0851752,0.0631181
"Occitan",9.98918e-05,0.012264,9.98918e-05,9.98918e-05,9.98918e-05,0.0414267,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,0.945111
"Oriya",9.98913e-05,9.98913e-05,9.98913e-05,9.98913e-05,0.551415,9.98913e-05,9.98913e-05,0.0434376,9.98913e-05,9.98913e-05,9.98913e-05,9.98913e-05,0.403949,9.98913e-05,9.98913e-05
"Punjabi",9.99008e-05,0.0946067,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.639364,9.99008e-05,0.0163434,9.99008e-05,9.99008e-05,0.248587,9.99008e-05,9.99008e-05
"Polish",9.9883e-05,9.9883e-05,9.9883e-05,0.119642,9.9883e-05,9.9883e-05,9.9883e-05,9.9883e-05,9.9883e-05,9.9883e-05,0.87906,9.9883e-05,9.9883e-05,9.9883e-05,9.9883e-05
"Pashto",9.99097e-05,9.99097e-05,9.99097e-05,0.0147677,9.99097e-05,9.99097e-05,9.99097e-05,0.366266,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,0.0781861,0.530759,0.00902205
"Portuguese",9.99009e-05,0.931343,9.99009e-05,0.00382336,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,0.0314411,9.99009e-05,0.0322935,9.99009e-05,9.99009e-05
"Romanian",9.99189e-05,0.568103,0.265147,0.0264841,9.99189e-05,9.99189e-05,9.99189e-05,0.0162478,9.99189e-05,9.99189e-05,0.092991,9.99189e-05,9.99189e-05,9.99189e-05,0.030128
"Russian",9.98827e-05,9.98827e-05,9.98827e-05,0.958818,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,0.0398836
"Sindhi",9.9892e-05,9.9892e-05,9.9892e-05,9.9892e-05,9.9892e-05,9.9892e-05,9.9892e-05,0.938684,9.9892e-05,9.9892e-05,0.0201946,9.9892e-05,9.9892e-05,0.0399228,9.9892e-05
"Slovak",0.0426248,9.98918e-05,0.0197599,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,0.936417,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05
"Slovenian",0.171802,0.0554048,0.0500532,9.99278e-05,9.99278e-05,9.99278e-05,0.07252,0.0388493,9.99278e-05,9.99278e-05,0.209328,0.401243,9.99278e-05,9.99278e-05,9.99278e-05
"Serbian",0.961431,9.98918e-05,9.98918e-05,0.00177489,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,0.0355957,9.98918e-05,9.98918e-05,9.98918e-05
"Swedish",9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.119681,9.99008e-05,9.99008e-05,0.864385,0.00885378,9.99008e-05,9.99008e-05,9.99008e-05,0.00598132
"Tajik",9.99008e-05,9.99008e-05,0.0282368,9.99008e-05,0.147734,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.802503,0.0204272
"Ukrainian",0.0302729,9.99277e-05,0.0545632,0.536632,9.99277e-05,9.99277e-05,9.99277e-05,0.0616367,9.99277e-05,0.0372875,0.157213,0.121595,9.99277e-05,9.99277e-05,9.99277e-05
"Persian",9.99006e-05,9.99006e-05,0.193414,9.99006e-05,0.172579,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,0.00938519,9.99006e-05,9.99006e-05,9.99006e-05,0.623523,9.99006e-05
"Greek",9.9928e-05,0.100062,9.9928e-05,9.9928e-05,9.9928e-05,0.298876,0.000629715,0.121265,0.0117034,9.9928e-05,9.9928e-05,0.374323,9.9928e-05,0.0923409,9.9928e-05
"Urdu",9.98917e-05,9.98917e-05,9.98917e-05,9.98917e-05,0.0292814,9.98917e-05,9.98917e-05,0.913854,9.98917e-05,9.98917e-05,9.98917e-05,9.98917e-05,9.98917e-05,0.0556659,9.98917e-05
"English",0.117572,0.103566,9.9919e-05,9.9919e-05,0.0046127,9.9919e-05,0.652635,9.9919e-05,9.9919e-05,9.9919e-05,0.00185389,9.9919e-05,9.9919e-05,0.118861,9.9919e-05
"Hindi",9.99133e-05,9.99133e-05,9.99133e-05,9.99133e-05,0.00399436,9.99133e-05,9.99133e-05,0.826525,9.99133e-05,0.0213308,9.99133e-05,9.99133e-05,0.137349,9.99133e-05,0.00980196
