"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10"
"Occitan",9.99368e-05,9.99368e-05,9.99368e-05,0.425446,9.99368e-05,9.99368e-05,9.99368e-05,0.141209,9.99368e-05,0.432645
"Oriya",9.99275e-05,0.727599,0.271601,9.99275e-05,9.99275e-05,9.99275e-05,9.99275e-05,9.99275e-05,9.99275e-05,9.99275e-05
"Punjabi",0.0129025,9.99369e-05,0.87152,0.114877,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05
"Polish",9.99279e-05,9.99279e-05,9.99279e-05,9.99279e-05,0.892193,9.99279e-05,9.99279e-05,9.99279e-05,0.107007,9.99279e-05
"Pashto",9.99278e-05,9.99278e-05,0.439138,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,0.560062,9.99278e-05,9.99278e-05
"Portuguese",0.0446992,9.99459e-05,9.99459e-05,0.847667,9.99459e-05,0.0655697,9.99459e-05,9.99459e-05,0.0414648,9.99459e-05
"Romanian",9.9964e-05,0.0437374,0.0942588,0.681417,0.090684,9.9964e-05,9.9964e-05,0.0230133,0.0664902,9.9964e-05
"Russian",9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,0.968487,0.0307133
"Sindhi",9.9937e-05,9.9937e-05,0.815925,9.9937e-05,0.0113189,9.9937e-05,9.9937e-05,0.172056,9.9937e-05,9.9937e-05
"Slovak",0.0477303,9.99369e-05,9.99369e-05,9.99369e-05,0.938027,9.99369e-05,9.99369e-05,0.0135433,9.99369e-05,9.99369e-05
"Slovenian",0.162294,9.99639e-05,0.0449813,0.0190898,0.302199,0.441725,0.0293114,9.99639e-05,9.99639e-05,9.99639e-05
"Serbian",0.945214,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,0.0539866,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05
"Swedish",0.0873693,0.0474669,9.99549e-05,0.0365099,9.99549e-05,0.125452,0.702702,9.99549e-05,9.99549e-05,9.99549e-05
"Tajik",9.99278e-05,0.121705,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,0.877496,9.99278e-05,9.99278e-05
"Ukrainian",0.0418229,9.99549e-05,0.028334,9.99549e-05,0.174553,0.140986,9.99549e-05,9.99549e-05,0.613805,9.99549e-05
"Persian",9.99367e-05,0.188696,9.99367e-05,9.99367e-05,9.99367e-05,9.99367e-05,0.0921537,0.71845,9.99367e-05,9.99367e-05
"Greek",9.996e-05,9.996e-05,0.104803,0.0743073,9.996e-05,0.434362,0.0481236,0.0440122,9.996e-05,0.293992
"Urdu",9.99368e-05,9.99368e-05,0.765662,9.99368e-05,9.99368e-05,9.99368e-05,0.0589583,0.17468,9.99368e-05,9.99368e-05
"English",0.160759,9.9955e-05,9.9955e-05,0.163457,0.143126,9.9955e-05,0.522516,9.9955e-05,9.9955e-05,0.00964177
"Hindi",0.00463957,0.0475913,0.83934,9.99549e-05,9.99549e-05,0.00294349,0.104986,9.99549e-05,9.99549e-05,9.99549e-05
