"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20"
"Danish",9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,0.00677202,0.502071,0.0543074,9.98737e-05,9.98737e-05,0.0314242,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,0.0852599,9.98737e-05,0.318767,9.98737e-05
"German",9.98646e-05,9.98646e-05,9.98646e-05,0.0485058,9.98646e-05,9.98646e-05,9.98646e-05,0.0152824,9.98646e-05,9.98646e-05,9.98646e-05,0.0132276,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,0.0118494,9.98646e-05,0.909637,9.98646e-05
"Spanish",9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.0140278,9.98558e-05,9.98558e-05,9.98558e-05,0.925186,9.98558e-05,0.0505253,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.00866285,9.98558e-05
"French",9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,0.0475257,9.98468e-05,9.98468e-05,0.0065251,9.98468e-05,9.98468e-05,0.944252,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05
"Irish",9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,0.11673,9.98376e-05,9.98376e-05,0.881473,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05
"Galician",9.98648e-05,0.0670525,9.98648e-05,0.00227456,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,0.0195683,0.905511,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,0.00409549
"Gujarati",0.683936,9.98466e-05,9.98466e-05,0.0743535,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,0.240013,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05
"Croatian",9.9874e-05,9.9874e-05,0.0209504,0.795959,9.9874e-05,0.0462049,9.9874e-05,9.9874e-05,9.9874e-05,9.9874e-05,9.9874e-05,9.9874e-05,0.0785047,9.9874e-05,9.9874e-05,9.9874e-05,9.9874e-05,9.9874e-05,0.0225916,0.0343909
"Armenian",9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,0.998103,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05
"Icelandic",9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,0.998103,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05
"Italian",9.98646e-05,0.0460776,0.594557,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,0.074216,9.98646e-05,9.98646e-05,9.98646e-05,0.282848,9.98646e-05,0.000803932,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05
"Kabuverdianu",9.98556e-05,0.800357,0.08999,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,0.0368051,9.98556e-05,0.07125,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05
"Luxembourgish",0.0663265,0.00254167,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,0.929434,9.98468e-05
"Lithuanian",9.98467e-05,0.0209671,9.98467e-05,9.98467e-05,0.793214,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,0.184121
"Latvian",9.98466e-05,9.98466e-05,9.98466e-05,0.0103433,0.963495,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,0.024464,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05
"Macedonian",0.0895927,9.98374e-05,9.98374e-05,9.98374e-05,9.98374e-05,9.98374e-05,9.98374e-05,9.98374e-05,9.98374e-05,9.98374e-05,9.98374e-05,9.98374e-05,9.98374e-05,9.98374e-05,9.98374e-05,9.98374e-05,9.98374e-05,9.98374e-05,9.98374e-05,0.90861
"Marathi",0.012867,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,0.938066,0.0101017,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,0.037368,9.98557e-05
"Norwegian",9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,0.969159,9.98469e-05,0.0211636,9.98469e-05,9.98469e-05,0.00797967,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05
"Nepali",0.998103,9.98286e-05,9.98286e-05,9.98286e-05,9.98286e-05,9.98286e-05,9.98286e-05,9.98286e-05,9.98286e-05,9.98286e-05,9.98286e-05,9.98286e-05,9.98286e-05,9.98286e-05,9.98286e-05,9.98286e-05,9.98286e-05,9.98286e-05,9.98286e-05,9.98286e-05
"Dutch",9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,0.998103,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05,9.98203e-05
"Occitan",9.98468e-05,9.98468e-05,0.00543422,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,0.0479369,9.98468e-05,0.944932,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05
"Oriya",0.235747,9.9846e-05,9.9846e-05,9.9846e-05,9.9846e-05,9.9846e-05,9.9846e-05,9.9846e-05,9.9846e-05,0.233234,9.9846e-05,9.9846e-05,9.9846e-05,9.9846e-05,9.9846e-05,0.529322,9.9846e-05,9.9846e-05,9.9846e-05,9.9846e-05
"Punjabi",9.98556e-05,0.0523894,9.98556e-05,9.98556e-05,0.0482343,9.98556e-05,9.98556e-05,9.98556e-05,0.00365891,0.89412,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05
"Polish",9.98559e-05,0.000550376,9.98559e-05,9.98559e-05,9.98559e-05,0.826176,9.98559e-05,9.98559e-05,9.98559e-05,9.98559e-05,0.087133,9.98559e-05,9.98559e-05,9.98559e-05,9.98559e-05,9.98559e-05,9.98559e-05,9.98559e-05,0.0845433,9.98559e-05
"Pashto",9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,0.342214,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,0.0839634,0.572125,9.98466e-05,9.98466e-05
"Portuguese",9.98468e-05,0.979002,9.98468e-05,9.98468e-05,9.98468e-05,0.0138207,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,0.00547957,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05
"Romanian",9.98284e-05,9.98284e-05,0.998103,9.98284e-05,9.98284e-05,9.98284e-05,9.98284e-05,9.98284e-05,9.98284e-05,9.98284e-05,9.98284e-05,9.98284e-05,9.98284e-05,9.98284e-05,9.98284e-05,9.98284e-05,9.98284e-05,9.98284e-05,9.98284e-05,9.98284e-05
"Russian",9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,0.958446,9.98467e-05,9.98467e-05,0.0314962,0.00836033,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05
"Sindhi",9.98652e-05,9.98652e-05,9.98652e-05,9.98652e-05,0.0277103,0.00866505,9.98652e-05,9.98652e-05,9.98652e-05,0.0270841,9.98652e-05,9.98652e-05,9.98652e-05,9.98652e-05,9.98652e-05,9.98652e-05,0.934277,0.000765891,9.98652e-05,9.98652e-05
"Slovak",9.98468e-05,9.98468e-05,9.98468e-05,0.036466,9.98468e-05,0.942052,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,0.0197848,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05
"Slovenian",9.98917e-05,9.98917e-05,0.124321,0.147685,0.0670945,0.190533,9.98917e-05,9.98917e-05,9.98917e-05,0.0243987,9.98917e-05,9.98917e-05,0.00281091,9.98917e-05,9.98917e-05,9.98917e-05,9.98917e-05,9.98917e-05,0.0862524,0.355705
"Serbian",9.98468e-05,9.98468e-05,9.98468e-05,0.963713,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,0.000407061,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,0.0341824
"Swedish",9.98468e-05,9.98468e-05,0.0278307,9.98468e-05,9.98468e-05,0.00570686,9.98468e-05,0.964765,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05
"Tajik",9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.0161905,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.0228514,9.98558e-05,9.98558e-05,0.11661,9.98558e-05,0.84275,9.98558e-05,9.98558e-05
"Ukrainian",9.98917e-05,9.98917e-05,9.98917e-05,0.0181668,0.0414914,0.141144,9.98917e-05,0.0310735,9.98917e-05,9.98917e-05,0.555485,9.98917e-05,0.0394695,9.98917e-05,9.98917e-05,9.98917e-05,0.0614795,9.98917e-05,9.98917e-05,0.110491
"Persian",9.98554e-05,9.98554e-05,9.98554e-05,9.98554e-05,9.98554e-05,9.98554e-05,9.98554e-05,9.98554e-05,0.0262088,9.98554e-05,9.98554e-05,9.98554e-05,0.184123,9.98554e-05,9.98554e-05,0.141532,9.98554e-05,0.646538,9.98554e-05,9.98554e-05
"Greek",9.991e-05,0.0166194,0.0541542,9.991e-05,0.100304,9.991e-05,9.991e-05,9.991e-05,0.00813706,9.991e-05,9.991e-05,0.307961,0.00618636,9.991e-05,0.0593187,9.991e-05,0.0917591,0.0440502,9.991e-05,0.310511
"Urdu",9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,0.986142,9.98378e-05,9.98378e-05,0.0120608
"English",9.98649e-05,0.0750852,9.98649e-05,0.0968507,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,0.6852,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,0.116927,0.0244392
"Hindi",0.164566,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,0.0235545,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,0.810182,9.98467e-05,9.98467e-05,9.98467e-05
