"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18"
"Nepali",9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,0.033076,9.98738e-05,9.98738e-05,0.0126308,9.98738e-05,0.883468,9.98738e-05,0.0694271,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05
"Dutch",0.0230266,0.0169581,9.99369e-05,9.99369e-05,0.074056,9.99369e-05,0.0254698,0.0778713,0.0715351,0.0377507,9.99369e-05,0.0932375,9.99369e-05,0.443316,0.101281,9.99369e-05,0.0347985,9.99369e-05
"Occitan",0.0510468,0.0257051,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,0.92175,9.98648e-05
"Oriya",9.98642e-05,9.98642e-05,9.98642e-05,9.98642e-05,9.98642e-05,9.98642e-05,9.98642e-05,9.98642e-05,9.98642e-05,0.447468,0.043856,0.507178,9.98642e-05,9.98642e-05,9.98642e-05,9.98642e-05,9.98642e-05,9.98642e-05
"Punjabi",9.98737e-05,0.0606702,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,0.0981665,0.1497,0.690065,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05
"Polish",9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,0.0731273,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,0.058098,0.867277,9.9865e-05,9.9865e-05,9.9865e-05
"Pashto",9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,0.651523,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,0.0655504,0.281429,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05
"Portuguese",9.98648e-05,0.898371,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,0.0850928,9.98648e-05,0.0150384,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05
"Romanian",9.99008e-05,0.554609,9.99008e-05,9.99008e-05,0.0246651,0.300696,0.0268467,9.99008e-05,9.99008e-05,9.99008e-05,0.00533498,9.99008e-05,9.99008e-05,9.99008e-05,0.0795015,9.99008e-05,0.00724775,9.99008e-05
"Russian",9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.970814,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.027588,9.98558e-05
"Sindhi",9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,0.100503,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,0.891533,9.9865e-05,9.9865e-05,9.9865e-05,0.00646513,9.9865e-05,9.9865e-05,9.9865e-05
"Slovak",9.98737e-05,9.98737e-05,0.0169331,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,0.00615367,9.98737e-05,9.98737e-05,9.98737e-05,0.0621946,9.98737e-05,0.91332,9.98737e-05,9.98737e-05,9.98737e-05
"Slovenian",9.99098e-05,0.0108677,0.137389,0.419598,9.99098e-05,0.0517845,9.99098e-05,9.99098e-05,0.0940853,9.99098e-05,0.0266295,9.99098e-05,9.99098e-05,0.0371399,0.221508,9.99098e-05,9.99098e-05,9.99098e-05
"Serbian",9.98502e-05,9.98502e-05,0.949432,0.0421598,9.98502e-05,9.98502e-05,0.00691062,9.98502e-05,9.98502e-05,9.98502e-05,9.98502e-05,9.98502e-05,9.98502e-05,9.98502e-05,9.98502e-05,9.98502e-05,9.98502e-05,9.98502e-05
"Swedish",9.98648e-05,0.0181814,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,0.0155983,0.964722,9.98648e-05,9.98648e-05
"Tajik",9.98559e-05,9.98559e-05,9.98559e-05,9.98559e-05,9.98559e-05,9.98559e-05,0.00624569,9.98559e-05,9.98559e-05,9.98559e-05,9.98559e-05,9.98559e-05,0.992157,9.98559e-05,9.98559e-05,9.98559e-05,9.98559e-05,9.98559e-05
"Ukrainian",9.99097e-05,9.99097e-05,0.00678127,0.115401,9.99097e-05,0.06183,0.545743,9.99097e-05,0.0479274,9.99097e-05,0.0273834,9.99097e-05,9.99097e-05,9.99097e-05,0.155045,0.0388893,9.99097e-05,9.99097e-05
"Persian",0.0295759,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,0.0585151,9.98827e-05,0.0791945,9.98827e-05,9.98827e-05,9.98827e-05,0.00272277,0.828693,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05
"Greek",0.315965,0.0900869,9.9901e-05,0.294096,0.00343269,9.9901e-05,9.9901e-05,9.9901e-05,0.121556,9.9901e-05,0.108714,9.9901e-05,0.0650513,9.9901e-05,9.9901e-05,9.9901e-05,9.9901e-05,9.9901e-05
"Urdu",9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,0.898486,9.98556e-05,0.0999163,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05
"English",9.98828e-05,0.0272137,0.0909661,0.0411685,9.98828e-05,9.98828e-05,9.98828e-05,0.831565,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,0.00778786,9.98828e-05
"Hindi",9.98918e-05,9.98918e-05,9.98918e-05,0.0171275,9.98918e-05,9.98918e-05,9.98918e-05,0.0186384,9.98918e-05,0.0851013,0.846331,0.0228155,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,0.00878757
