"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19"
"French",9.98558e-05,0.0193854,9.98558e-05,9.98558e-05,9.98558e-05,0.02174,9.98558e-05,9.98558e-05,9.98558e-05,0.957277,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05
"Irish",9.98917e-05,9.98917e-05,9.98917e-05,0.796174,9.98917e-05,9.98917e-05,0.00730088,0.0144651,0.0892186,9.98917e-05,9.98917e-05,0.0197176,0.00740262,9.98917e-05,9.98917e-05,9.98917e-05,9.98917e-05,0.064522,9.98917e-05
"Galician",9.98648e-05,0.0193583,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,0.915012,9.98648e-05,9.98648e-05,0.0538585,9.98648e-05,9.98648e-05,0.0102728,9.98648e-05,9.98648e-05
"Gujarati",9.98466e-05,9.98466e-05,0.925472,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,0.0728311,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05
"Croatian",9.991e-05,9.991e-05,0.0238675,9.991e-05,9.991e-05,9.991e-05,9.991e-05,0.0681428,0.00585506,0.000414442,0.00961765,9.991e-05,0.769195,9.991e-05,9.991e-05,0.0116556,0.0238898,0.0863627,9.991e-05
"Armenian",9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,0.998203,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05
"Icelandic",0.998203,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05
"Italian",9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,0.13945,0.0692661,0.332725,9.98737e-05,9.98737e-05,0.175965,0.281195,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05
"Kabuverdianu",9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,0.0742118,0.0376651,9.98646e-05,9.98646e-05,0.861733,0.0248919,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05
"Luxembourgish",9.98739e-05,9.98739e-05,0.145069,9.98739e-05,9.98739e-05,0.634434,0.00992941,9.98739e-05,9.98739e-05,9.98739e-05,9.98739e-05,9.98739e-05,9.98739e-05,0.0574088,9.98739e-05,9.98739e-05,9.98739e-05,0.151761,9.98739e-05
"Lithuanian",9.98464e-05,9.98464e-05,9.98464e-05,9.98464e-05,0.995937,9.98464e-05,9.98464e-05,9.98464e-05,9.98464e-05,9.98464e-05,9.98464e-05,9.98464e-05,9.98464e-05,9.98464e-05,9.98464e-05,9.98464e-05,0.00236563,9.98464e-05,9.98464e-05
"Latvian",9.98827e-05,9.98827e-05,0.0189925,0.197697,0.650551,9.98827e-05,9.98827e-05,0.0114124,9.98827e-05,0.00391155,9.98827e-05,9.98827e-05,0.116137,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05
"Macedonian",9.98736e-05,9.98736e-05,0.0729082,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,0.00514211,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,0.899396,0.0100192,0.0111363
"Marathi",9.98557e-05,0.0499857,0.501596,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,0.446821,9.98557e-05,9.98557e-05,9.98557e-05
"Norwegian",9.98919e-05,0.0326671,9.98919e-05,9.98919e-05,0.18659,0.530338,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,0.0341796,9.98919e-05,0.000335665,9.98919e-05,9.98919e-05,0.00912648,9.98919e-05,9.98919e-05,0.205564
"Nepali",9.98648e-05,9.98648e-05,0.877723,0.0130124,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,0.0421598,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,0.0656072
"Dutch",0.768071,9.9874e-05,9.9874e-05,0.126501,9.9874e-05,0.0378094,9.9874e-05,9.9874e-05,9.9874e-05,0.00540392,9.9874e-05,9.9874e-05,9.9874e-05,9.9874e-05,9.9874e-05,9.9874e-05,9.9874e-05,0.0608166,9.9874e-05
"Occitan",9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.937436,0.0516663,9.98558e-05,9.98558e-05,0.00929991,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05
"Oriya",9.98552e-05,9.98552e-05,0.445402,9.98552e-05,9.98552e-05,9.98552e-05,9.98552e-05,9.98552e-05,9.98552e-05,9.98552e-05,9.98552e-05,9.98552e-05,9.98552e-05,9.98552e-05,9.98552e-05,0.0296861,9.98552e-05,9.98552e-05,0.523315
"Punjabi",9.98738e-05,9.98738e-05,0.182497,0.0535805,0.00540181,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,0.0632543,9.98738e-05,0.693868,9.98738e-05,9.98738e-05,9.98738e-05
"Polish",9.98649e-05,0.0948735,9.98649e-05,9.98649e-05,9.98649e-05,0.0122713,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,0.0390708,9.98649e-05,9.98649e-05,0.852286,9.98649e-05
"Pashto",9.98736e-05,0.0507712,0.0866887,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,0.00188312,0.484661,9.98736e-05,9.98736e-05,9.98736e-05,0.374598,9.98736e-05,9.98736e-05,9.98736e-05
"Portuguese",9.98558e-05,9.98558e-05,0.0103067,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.95846,9.98558e-05,9.98558e-05,9.98558e-05,0.0296352,9.98558e-05
"Romanian",9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,0.998203,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05
"Russian",9.98557e-05,0.957771,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,0.0183579,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,0.0222729,9.98557e-05,9.98557e-05
"Sindhi",9.98561e-05,9.98561e-05,9.98561e-05,9.98561e-05,9.98561e-05,9.98561e-05,9.98561e-05,9.98561e-05,9.98561e-05,9.98561e-05,9.98561e-05,0.0159516,9.98561e-05,9.98561e-05,9.98561e-05,0.945708,9.98561e-05,0.0367425,9.98561e-05
"Slovak",9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.0078316,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.0487648,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.941806,9.98558e-05
"Slovenian",9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,0.998203,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05
"Serbian",9.98558e-05,0.00127345,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.956725,9.98558e-05,9.98558e-05,9.98558e-05,0.0404034,9.98558e-05,9.98558e-05
"Swedish",9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,0.00871261,0.743934,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,0.0333342,0.058708,0.038882,0.0174827,9.99009e-05,0.035173,9.99009e-05,0.0626749
"Tajik",9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.0173936,9.98558e-05,9.98558e-05,9.98558e-05,0.870985,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.110023
"Ukrainian",9.98917e-05,0.532591,9.98917e-05,9.98917e-05,0.0576829,9.98917e-05,9.98917e-05,0.0424212,0.204509,9.98917e-05,9.98917e-05,9.98917e-05,0.00900975,9.98917e-05,9.98917e-05,0.0545239,9.98917e-05,0.0980635,9.98917e-05
"Persian",9.98734e-05,9.98734e-05,9.98734e-05,9.98734e-05,9.98734e-05,0.0466029,0.0101831,0.154206,9.98734e-05,9.98734e-05,9.98734e-05,0.643095,9.98734e-05,9.98734e-05,9.98734e-05,9.98734e-05,9.98734e-05,9.98734e-05,0.144515
"Greek",0.0615473,9.99001e-05,9.99001e-05,0.0155718,0.157038,9.99001e-05,9.99001e-05,9.99001e-05,9.99001e-05,9.99001e-05,0.314459,0.0754686,9.99001e-05,0.00577962,0.0530477,0.105345,0.210743,9.99001e-05,9.99001e-05
"Urdu",9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,0.00390532,9.98647e-05,9.98647e-05,9.98647e-05,0.0363883,9.98647e-05,9.98647e-05,9.98647e-05,0.919218,9.98647e-05,9.98647e-05,0.0389904
"English",9.98382e-05,9.98382e-05,9.98382e-05,9.98382e-05,9.98382e-05,9.98382e-05,0.998203,9.98382e-05,9.98382e-05,9.98382e-05,9.98382e-05,9.98382e-05,9.98382e-05,9.98382e-05,9.98382e-05,9.98382e-05,9.98382e-05,9.98382e-05,9.98382e-05
"Hindi",9.98648e-05,9.98648e-05,0.101573,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,0.814223,0.0414969,9.98648e-05,0.0412089
