"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11"
"Galician",9.99369e-05,0.0194045,9.99369e-05,9.99369e-05,9.99369e-05,0.060137,0.000325914,9.99369e-05,9.99369e-05,9.99369e-05,0.919433
"Gujarati",0.399726,9.99458e-05,9.99458e-05,9.99458e-05,0.296467,9.99458e-05,0.0671756,9.99458e-05,0.23593,9.99458e-05,0.000102399
"Croatian",0.0337531,9.9955e-05,9.9955e-05,9.9955e-05,0.0217159,0.019375,0.8243,0.0673128,9.9955e-05,0.0330431,9.9955e-05
"Armenian",0.156541,0.00726303,0.294762,0.211636,0.0858782,9.99731e-05,9.99731e-05,0.00539662,0.135624,9.99731e-05,0.1026
"Icelandic",0.0471525,0.0207345,0.0416197,0.26787,0.117662,0.129953,0.0334009,0.0452199,0.186823,9.9991e-05,0.109465
"Italian",9.99459e-05,9.99459e-05,9.99459e-05,0.0283772,9.99459e-05,9.99459e-05,0.0867527,0.0282629,9.99459e-05,0.692813,0.163194
"Kabuverdianu",9.99201e-05,9.99201e-05,9.99201e-05,9.99201e-05,9.99201e-05,0.148974,9.99201e-05,9.99201e-05,0.0603089,0.789918,9.99201e-05
"Luxembourgish",9.9946e-05,9.9946e-05,9.9946e-05,0.50932,9.9946e-05,0.00918584,9.9946e-05,0.250014,0.190308,0.0405722,9.9946e-05
"Lithuanian",9.99279e-05,0.0294546,9.99279e-05,9.99279e-05,9.99279e-05,0.476587,9.99279e-05,9.99279e-05,0.493159,9.99279e-05,9.99279e-05
"Latvian",9.99187e-05,9.99187e-05,9.99187e-05,9.99187e-05,9.99187e-05,9.99187e-05,0.102974,9.99187e-05,0.896126,9.99187e-05,9.99187e-05
"Macedonian",9.99277e-05,9.99277e-05,9.99277e-05,9.99277e-05,0.0821648,0.87661,9.99277e-05,0.0404257,9.99277e-05,9.99277e-05,9.99277e-05
"Marathi",0.799202,0.0605901,9.99279e-05,9.99279e-05,0.139409,9.99279e-05,9.99279e-05,9.99279e-05,9.99279e-05,9.99279e-05,9.99279e-05
"Norwegian",0.0686137,0.0628943,9.9964e-05,0.643471,0.0900307,0.105401,0.0129196,9.9964e-05,9.9964e-05,9.9964e-05,0.0162694
"Nepali",9.99186e-05,9.99186e-05,9.99186e-05,9.99186e-05,0.588931,9.99186e-05,9.99186e-05,9.99186e-05,0.41017,9.99186e-05,9.99186e-05
"Dutch",9.99639e-05,0.0282164,9.99639e-05,0.38203,0.0666903,9.99639e-05,9.99639e-05,0.194481,0.221455,0.0930231,0.0137045
"Occitan",9.99278e-05,9.99278e-05,0.0256616,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,0.858102,0.115437
"Oriya",0.170238,9.99185e-05,9.99185e-05,9.99185e-05,0.828863,9.99185e-05,9.99185e-05,9.99185e-05,9.99185e-05,9.99185e-05,9.99185e-05
"Punjabi",0.793983,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,0.154432,0.0507852,9.99278e-05
"Polish",9.99189e-05,0.108276,9.99189e-05,9.99189e-05,9.99189e-05,9.99189e-05,9.99189e-05,0.890825,9.99189e-05,9.99189e-05,9.99189e-05
"Pashto",0.471467,0.0414087,0.486325,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05
"Portuguese",9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,0.186064,9.99278e-05,9.99278e-05,0.329811,0.483326,9.99278e-05
"Romanian",0.110176,0.0799283,9.9946e-05,9.9946e-05,9.9946e-05,0.0469347,9.9946e-05,0.128576,9.9946e-05,0.633786,9.9946e-05
"Russian",9.99279e-05,0.990709,9.99279e-05,0.00395089,9.99279e-05,9.99279e-05,9.99279e-05,9.99279e-05,9.99279e-05,0.00454097,9.99279e-05
"Sindhi",0.880451,9.9928e-05,0.116066,9.9928e-05,9.9928e-05,9.9928e-05,9.9928e-05,0.00268387,9.9928e-05,9.9928e-05,9.9928e-05
"Slovak",9.99278e-05,9.99278e-05,0.0310729,9.99278e-05,9.99278e-05,9.99278e-05,0.0410769,0.927051,9.99278e-05,9.99278e-05,9.99278e-05
"Slovenian",0.054476,9.99459e-05,9.99459e-05,9.99459e-05,9.99459e-05,0.441163,0.166699,0.289893,0.0471698,9.99459e-05,9.99459e-05
"Serbian",9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,0.0527628,0.946338,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05
"Swedish",9.99549e-05,9.99549e-05,0.00283095,0.73371,9.99549e-05,0.087199,0.0777363,9.99549e-05,0.0595139,0.0385103,9.99549e-05
"Tajik",9.99189e-05,9.99189e-05,0.957738,9.99189e-05,0.0413628,9.99189e-05,9.99189e-05,9.99189e-05,9.99189e-05,9.99189e-05,9.99189e-05
"Ukrainian",0.0560736,0.586989,9.99458e-05,9.99458e-05,9.99458e-05,0.1389,0.0349838,0.182454,9.99458e-05,9.99458e-05,9.99458e-05
"Persian",9.99277e-05,9.99277e-05,0.768888,0.136398,0.0939146,9.99277e-05,9.99277e-05,9.99277e-05,9.99277e-05,9.99277e-05,9.99277e-05
"Greek",0.0844465,9.99549e-05,0.0646825,9.99549e-05,9.99549e-05,0.422651,9.99549e-05,9.99549e-05,0.0809867,0.0500224,0.296711
"Urdu",0.785332,9.99277e-05,0.135526,0.0783429,9.99277e-05,9.99277e-05,9.99277e-05,9.99277e-05,9.99277e-05,9.99277e-05,9.99277e-05
"English",9.99549e-05,9.99549e-05,0.0840655,0.398121,9.99549e-05,9.99549e-05,0.074141,0.0860052,0.289685,0.0674824,9.99549e-05
"Hindi",0.849266,9.99279e-05,9.99279e-05,0.0627126,0.087222,9.99279e-05,9.99279e-05,9.99279e-05,9.99279e-05,9.99279e-05,9.99279e-05
