"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13"
"Kabuverdianu",9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,0.989034,9.99006e-05,0.00986746,9.99006e-05
"Luxembourgish",9.9928e-05,0.170883,9.9928e-05,9.9928e-05,9.9928e-05,9.9928e-05,0.546191,9.9928e-05,9.9928e-05,9.9928e-05,0.0637624,0.0334464,0.184918
"Lithuanian",9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,0.0508984,9.99101e-05,0.0455888,0.435838,9.99101e-05,0.466775
"Latvian",9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,0.111185,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,0.887716
"Macedonian",0.0669624,0.0229478,9.99096e-05,9.99096e-05,9.99096e-05,9.99096e-05,9.99096e-05,9.99096e-05,9.99096e-05,9.99096e-05,0.909091,9.99096e-05,9.99096e-05
"Marathi",0.103588,9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05,0.0651524,0.830261,9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05
"Norwegian",0.102419,9.9955e-05,0.0218992,9.9955e-05,0.0318219,9.9955e-05,0.662446,0.0826878,0.00685416,0.050373,0.0409994,9.9955e-05,9.9955e-05
"Nepali",0.584275,9.99096e-05,9.99096e-05,9.99096e-05,9.99096e-05,9.99096e-05,9.99096e-05,9.99096e-05,0.0330989,9.99096e-05,9.99096e-05,9.99096e-05,0.381627
"Dutch",0.0545212,0.192342,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,0.323946,9.99369e-05,9.99369e-05,9.99369e-05,0.0123934,0.0916956,0.324402
"Occitan",9.99098e-05,9.99098e-05,0.0727645,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,0.0103052,9.99098e-05,0.915931,9.99098e-05
"Oriya",0.777087,9.99004e-05,9.99004e-05,9.99004e-05,9.99004e-05,9.99004e-05,9.99004e-05,9.99004e-05,0.221814,9.99004e-05,9.99004e-05,9.99004e-05,9.99004e-05
"Punjabi",9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,0.78526,0.065865,9.99098e-05,9.99098e-05,0.147876
"Polish",9.9919e-05,0.890389,9.9919e-05,9.9919e-05,9.9919e-05,9.9919e-05,0.0041438,0.0993075,9.9919e-05,0.00525997,9.9919e-05,9.9919e-05,9.9919e-05
"Pashto",9.99368e-05,9.99368e-05,0.00314287,0.494217,9.99368e-05,9.99368e-05,9.99368e-05,0.0286417,0.438136,9.99368e-05,9.99368e-05,0.0205827,0.0145807
"Portuguese",9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05,0.846596,0.0127296,9.99099e-05,0.139676
"Romanian",9.99279e-05,0.0548515,9.99279e-05,0.0490144,9.99279e-05,9.99279e-05,9.99279e-05,0.0436888,0.10617,0.745476,9.99279e-05,9.99279e-05,9.99279e-05
"Russian",9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,0.955108,9.99007e-05,9.99007e-05,9.99007e-05,0.0437927,9.99007e-05
"Sindhi",9.991e-05,0.0048034,9.991e-05,0.152896,9.991e-05,9.991e-05,9.991e-05,9.991e-05,0.841301,9.991e-05,9.991e-05,9.991e-05,9.991e-05
"Slovak",9.99098e-05,0.940148,9.99098e-05,0.0336098,0.0252427,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05
"Slovenian",9.99369e-05,0.253255,9.99369e-05,9.99369e-05,0.160026,9.99369e-05,0.0353545,9.99369e-05,0.0644005,0.0531097,0.433155,9.99369e-05,9.99369e-05
"Serbian",9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,0.942915,9.99098e-05,9.99098e-05,0.0103728,9.99098e-05,9.99098e-05,0.0457131,9.99098e-05,9.99098e-05
"Swedish",0.00219114,9.99369e-05,9.99369e-05,9.99369e-05,0.111427,0.0320184,0.723081,9.99369e-05,9.99369e-05,0.0963049,0.034278,9.99369e-05,9.99369e-05
"Tajik",0.0240838,9.99009e-05,9.99009e-05,0.974817,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05
"Ukrainian",9.99278e-05,0.15951,9.99278e-05,9.99278e-05,0.0282165,9.99278e-05,9.99278e-05,0.628518,0.0405694,9.99278e-05,0.142387,9.99278e-05,9.99278e-05
"Persian",0.0662094,9.99096e-05,9.99096e-05,0.770875,9.99096e-05,9.99096e-05,0.161916,9.99096e-05,9.99096e-05,9.99096e-05,9.99096e-05,9.99096e-05,9.99096e-05
"Greek",9.99369e-05,9.99369e-05,0.310039,0.0392787,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,0.0456607,0.0212799,0.416346,9.99369e-05,0.166696
"Urdu",9.99096e-05,9.99096e-05,9.99096e-05,0.132674,9.99096e-05,9.99096e-05,0.0892719,9.99096e-05,0.777055,9.99096e-05,9.99096e-05,9.99096e-05,9.99096e-05
"English",9.9946e-05,0.0980038,9.9946e-05,0.0179448,0.106293,9.9946e-05,0.379122,9.9946e-05,9.9946e-05,0.0828399,9.9946e-05,0.0385081,0.276689
"Hindi",0.0493525,9.99189e-05,9.99189e-05,9.99189e-05,9.99189e-05,0.0296002,0.0862241,9.99189e-05,0.833924,9.99189e-05,9.99189e-05,9.99189e-05,9.99189e-05
