"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14"
"German",0.0312597,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,0.0615621,9.99006e-05,0.906079
"Spanish",0.0199313,9.99188e-05,9.99188e-05,0.917564,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,0.00504573,9.99188e-05,0.055735,9.99188e-05,9.99188e-05,0.000825094
"French",0.0442245,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.0066188,9.99008e-05,9.99008e-05,9.99008e-05,0.948058,9.99008e-05,9.99008e-05,9.99008e-05
"Irish",9.99007e-05,9.99007e-05,0.855426,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,0.0480073,0.0954678,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05
"Galician",9.99189e-05,0.0222186,9.99189e-05,0.919586,0.0189272,9.99189e-05,0.0246266,9.99189e-05,9.99189e-05,9.99189e-05,9.99189e-05,0.013742,9.99189e-05,9.99189e-05
"Gujarati",9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,0.165924,9.99097e-05,9.99097e-05,9.99097e-05,0.428007,9.99097e-05,0.0839756,0.321094,9.99097e-05
"Croatian",9.9928e-05,9.9928e-05,9.9928e-05,0.0254386,0.0131571,9.9928e-05,9.9928e-05,9.9928e-05,0.0628818,0.0326213,9.9928e-05,0.789725,9.9928e-05,0.075377
"Armenian",9.99192e-05,9.99192e-05,9.99192e-05,0.0755058,9.99192e-05,9.99192e-05,9.99192e-05,0.39487,9.99192e-05,0.184255,9.99192e-05,9.99192e-05,0.00363509,0.340835
"Icelandic",0.110598,9.9973e-05,0.13579,0.116232,0.0865082,0.115985,0.0510192,0.0480692,9.9973e-05,0.0835847,9.9973e-05,0.039151,0.087758,0.125005
"Italian",0.073549,0.581031,9.99188e-05,0.311913,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,0.0276252,9.99188e-05,0.0049825,9.99188e-05,9.99188e-05,9.99188e-05
"Kabuverdianu",9.99006e-05,0.979303,9.99006e-05,0.00153663,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,0.0180619,9.99006e-05,9.99006e-05,9.99006e-05
"Luxembourgish",9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,0.0021158,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,0.996685
"Lithuanian",0.0248386,0.0144869,9.99098e-05,9.99098e-05,0.273644,0.686031,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05
"Latvian",9.98825e-05,9.98825e-05,9.98825e-05,9.98825e-05,9.98825e-05,0.998702,9.98825e-05,9.98825e-05,9.98825e-05,9.98825e-05,9.98825e-05,9.98825e-05,9.98825e-05,9.98825e-05
"Macedonian",9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,0.915868,9.99006e-05,9.99006e-05,9.99006e-05,0.00911217,9.99006e-05,9.99006e-05,9.99006e-05,0.0739211,9.99006e-05
"Marathi",9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,0.053176,9.99098e-05,9.99098e-05,0.760206,9.99098e-05,9.99098e-05,0.143966,0.0416535
"Norwegian",0.998702,9.9883e-05,9.9883e-05,9.9883e-05,9.9883e-05,9.9883e-05,9.9883e-05,9.9883e-05,9.9883e-05,9.9883e-05,9.9883e-05,9.9883e-05,9.9883e-05,9.9883e-05
"Nepali",9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,9.99006e-05,0.330153,9.99006e-05,9.99006e-05,9.99006e-05,0.0150132,9.99006e-05,9.99006e-05,0.653735,9.99006e-05
"Dutch",9.99549e-05,0.0355898,0.235494,0.0209845,9.99549e-05,0.1495,0.007409,9.99549e-05,0.0960834,9.99549e-05,0.0495458,9.99549e-05,0.0869441,0.31795
"Occitan",9.99008e-05,0.0306459,9.99008e-05,0.0516776,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.916578,9.99008e-05,9.99008e-05,9.99008e-05
"Oriya",9.98914e-05,9.98914e-05,9.98914e-05,9.98914e-05,9.98914e-05,9.98914e-05,9.98914e-05,9.98914e-05,9.98914e-05,0.175063,9.98914e-05,9.98914e-05,0.823739,9.98914e-05
"Punjabi",9.99098e-05,0.0932217,0.00980375,9.99098e-05,9.99098e-05,0.0751354,9.99098e-05,9.99098e-05,9.99098e-05,0.82084,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05
"Polish",9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,0.104488,9.99009e-05,0.821977,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,0.0724362
"Pashto",9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,0.0500109,0.0480024,0.438659,9.99188e-05,0.454397,0.00803138,9.99188e-05,9.99188e-05,9.99188e-05
"Portuguese",9.99008e-05,0.893996,0.0929753,9.99008e-05,9.99008e-05,9.99008e-05,0.0119301,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05
"Romanian",9.99279e-05,0.707724,9.99279e-05,9.99279e-05,9.99279e-05,9.99279e-05,0.0132929,0.0772069,0.0681099,0.100206,9.99279e-05,9.99279e-05,9.99279e-05,0.0326605
"Russian",9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,0.967876,9.98918e-05,9.98918e-05,9.98918e-05,0.0309251,9.98918e-05,9.98918e-05,9.98918e-05
"Sindhi",9.9901e-05,9.9901e-05,9.9901e-05,9.9901e-05,9.9901e-05,9.9901e-05,9.9901e-05,0.0867218,0.0394005,0.872779,9.9901e-05,9.9901e-05,9.9901e-05,9.9901e-05
"Slovak",9.99189e-05,9.99189e-05,9.99189e-05,0.00602093,9.99189e-05,0.00150806,9.99189e-05,0.00337782,0.964299,9.99189e-05,9.99189e-05,0.0238949,9.99189e-05,9.99189e-05
"Slovenian",9.993e-05,0.0583551,9.993e-05,9.993e-05,0.35353,0.0754707,9.993e-05,9.993e-05,0.210162,0.0305841,9.993e-05,0.164867,9.993e-05,0.106331
"Serbian",9.98973e-05,9.98973e-05,9.98973e-05,9.98973e-05,0.04529,9.98973e-05,9.98973e-05,9.98973e-05,9.98973e-05,9.98973e-05,9.98973e-05,0.953511,9.98973e-05,9.98973e-05
"Swedish",0.959455,0.00355964,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.0358863,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05
"Tajik",9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05,0.963728,0.0237598,9.99099e-05,0.00750919,0.00400415,9.99099e-05,9.99099e-05
"Ukrainian",0.091253,9.99278e-05,9.99278e-05,9.99278e-05,0.104212,9.99278e-05,0.564129,9.99278e-05,0.177438,0.0423492,9.99278e-05,0.0198199,9.99278e-05,9.99278e-05
"Persian",9.99096e-05,9.99096e-05,0.0448995,9.99096e-05,9.99096e-05,9.99096e-05,9.99096e-05,0.850412,9.99096e-05,9.99096e-05,9.99096e-05,9.99096e-05,0.0459301,0.0577594
"Greek",9.99369e-05,0.0924443,9.99369e-05,0.289992,0.323018,0.0835254,9.99369e-05,0.075938,9.99369e-05,0.105235,9.99369e-05,9.99369e-05,9.99369e-05,0.0291482
"Urdu",0.0571051,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,0.175141,9.99007e-05,0.766655,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05
"English",9.99189e-05,0.0321592,0.747821,9.99189e-05,0.0668502,9.99189e-05,9.99189e-05,9.99189e-05,9.99189e-05,9.99189e-05,0.0281542,0.124117,9.99189e-05,9.99189e-05
"Hindi",0.0461539,9.99188e-05,0.0380589,9.99188e-05,0.0264186,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,0.831082,9.99188e-05,9.99188e-05,0.0573872,9.99188e-05
