"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17"
"Danish",0.087848,9.98918e-05,9.98918e-05,0.515104,0.0326869,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,0.00914234,9.98918e-05,0.35402,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05
"German",9.98826e-05,9.98826e-05,9.98826e-05,0.0311946,0.0196773,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,0.906785,9.98826e-05,9.98826e-05,0.0410442,9.98826e-05
"Spanish",9.98828e-05,9.98828e-05,9.98828e-05,0.00803587,0.921362,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,0.0533156,0.015988,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05
"French",9.98828e-05,9.98828e-05,9.98828e-05,0.0427493,9.98828e-05,0.00062158,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,0.941178,9.98828e-05,0.0141525,9.98828e-05,9.98828e-05,9.98828e-05
"Irish",9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,0.0929766,0.0641851,9.98737e-05,0.84144,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05
"Galician",9.98918e-05,0.000609184,9.98918e-05,9.98918e-05,0.909355,0.0297882,9.98918e-05,9.98918e-05,9.98918e-05,0.0217156,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,0.0373331
"Gujarati",9.98646e-05,0.949214,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,0.0492876,9.98646e-05
"Croatian",9.991e-05,9.991e-05,9.991e-05,9.991e-05,0.0202519,9.991e-05,0.0764931,0.0646652,9.991e-05,9.991e-05,9.991e-05,0.00910002,0.0312963,9.991e-05,9.991e-05,0.793967,0.00322705
"Armenian",9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,0.998402,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05
"Icelandic",9.98562e-05,9.98562e-05,0.998402,9.98562e-05,9.98562e-05,9.98562e-05,9.98562e-05,9.98562e-05,9.98562e-05,9.98562e-05,9.98562e-05,9.98562e-05,9.98562e-05,9.98562e-05,9.98562e-05,9.98562e-05,9.98562e-05
"Italian",9.98918e-05,9.98918e-05,9.98918e-05,0.0698178,0.306961,9.98918e-05,9.98918e-05,0.0437926,9.98918e-05,0.523182,9.98918e-05,0.0550478,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05
"Kabuverdianu",9.98735e-05,9.98735e-05,9.98735e-05,9.98735e-05,0.0209439,9.98735e-05,9.98735e-05,9.98735e-05,9.98735e-05,0.945955,9.98735e-05,0.0317032,9.98735e-05,9.98735e-05,9.98735e-05,9.98735e-05,9.98735e-05
"Luxembourgish",9.98502e-05,0.0695161,9.98502e-05,9.98502e-05,9.98502e-05,9.98502e-05,9.98502e-05,9.98502e-05,9.98502e-05,9.98502e-05,9.98502e-05,9.98502e-05,0.928986,9.98502e-05,9.98502e-05,9.98502e-05,9.98502e-05
"Lithuanian",9.99099e-05,0.0375176,9.99099e-05,0.030288,9.99099e-05,0.123099,9.99099e-05,9.99099e-05,9.99099e-05,0.227059,9.99099e-05,9.99099e-05,0.132616,0.113076,9.99099e-05,9.99099e-05,0.335344
"Latvian",9.99098e-05,0.118462,9.99098e-05,9.99098e-05,9.99098e-05,0.0659797,0.0403206,9.99098e-05,9.99098e-05,0.0940103,0.463978,9.99098e-05,9.99098e-05,0.0505712,9.99098e-05,0.165679,9.99098e-05
"Macedonian",9.98826e-05,0.0227627,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,0.00297958,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,0.0364934,9.98826e-05,0.936466
"Marathi",0.45726,0.464624,9.98827e-05,9.98827e-05,9.98827e-05,0.0378379,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,0.0389794,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05
"Norwegian",9.9865e-05,0.0046744,9.9865e-05,0.993828,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05,9.9865e-05
"Nepali",9.98828e-05,0.84057,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,0.0206418,0.0444528,0.093037,9.98828e-05,9.98828e-05
"Dutch",9.9955e-05,0.0108487,0.0122005,0.00630641,0.0296309,0.0640874,9.9955e-05,0.109253,9.9955e-05,0.0455229,0.441001,0.0258849,0.179513,0.01608,0.0591718,9.9955e-05,9.9955e-05
"Occitan",9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,0.0513436,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,0.0162209,9.98738e-05,0.931037,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05
"Oriya",0.0325836,0.426214,9.98732e-05,9.98732e-05,9.98732e-05,9.98732e-05,9.98732e-05,9.98732e-05,9.98732e-05,9.98732e-05,9.98732e-05,9.98732e-05,9.98732e-05,9.98732e-05,0.539804,9.98732e-05,9.98732e-05
"Punjabi",0.649464,0.221351,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,0.0875641,0.0403226,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05
"Polish",9.98739e-05,9.98739e-05,9.98739e-05,9.98739e-05,9.98739e-05,0.0831797,9.98739e-05,0.852973,9.98739e-05,9.98739e-05,9.98739e-05,9.98739e-05,0.0624489,9.98739e-05,9.98739e-05,9.98739e-05,9.98739e-05
"Pashto",0.326119,0.0328407,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,0.639642,9.98736e-05,9.98736e-05,9.98736e-05
"Portuguese",9.99008e-05,0.0105225,9.99008e-05,9.99008e-05,9.99008e-05,0.00301993,9.99008e-05,0.020404,9.99008e-05,0.901867,0.0618505,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.00123709,9.99008e-05
"Romanian",0.0106276,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,0.017621,0.282022,0.0926518,9.99098e-05,0.564811,9.99098e-05,0.0113105,9.99098e-05,0.0199572,9.99098e-05,9.99098e-05,9.99098e-05
"Russian",9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,0.953798,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,0.0447043,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05
"Sindhi",0.897908,9.9874e-05,9.9874e-05,9.9874e-05,9.9874e-05,9.9874e-05,9.9874e-05,0.010509,9.9874e-05,9.9874e-05,9.9874e-05,9.9874e-05,9.9874e-05,0.0901849,9.9874e-05,9.9874e-05,9.9874e-05
"Slovak",9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,0.909064,0.0833417,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,0.00619618,9.98737e-05
"Slovenian",0.0305368,0.00513852,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,0.0305935,0.20086,9.99188e-05,0.046794,9.99188e-05,9.99188e-05,0.0795938,9.99188e-05,9.99188e-05,0.162583,0.443001
"Serbian",9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,0.00678741,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,0.944272,0.0475424
"Swedish",9.98738e-05,9.98738e-05,9.98738e-05,0.96122,9.98738e-05,9.98738e-05,9.98738e-05,0.00952614,9.98738e-05,0.0278555,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05
"Tajik",9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,0.0103375,9.98649e-05,9.98649e-05,0.988164,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05
"Ukrainian",0.0439209,9.99097e-05,9.99097e-05,0.0278983,9.99097e-05,0.566162,0.0621122,0.133132,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,0.00849898,0.157277
"Persian",9.99098e-05,9.99098e-05,9.99098e-05,0.0202485,0.0350556,9.99098e-05,0.069058,9.99098e-05,0.845532,9.99098e-05,0.0110194,9.99098e-05,0.00784052,9.99098e-05,0.0102467,9.99098e-05,9.99098e-05
"Greek",0.102753,9.9919e-05,0.0209359,9.9919e-05,0.295116,9.9919e-05,9.9919e-05,9.9919e-05,0.0282166,0.157203,0.000702362,9.9919e-05,9.9919e-05,0.034259,9.9919e-05,9.9919e-05,0.359914
"Urdu",0.912029,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,0.0864726,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05
"English",9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,9.98919e-05,0.743658,0.0498716,0.0206533,9.98919e-05,9.98919e-05,0.108556,0.0760628
"Hindi",0.849706,0.121533,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,0.0202164,9.98828e-05,0.00724674
