"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12"
"Luxembourgish",9.9937e-05,0.0483616,9.9937e-05,9.9937e-05,9.9937e-05,0.204017,9.9937e-05,0.0464557,9.9937e-05,0.102804,9.9937e-05,0.597662
"Lithuanian",0.428409,9.99189e-05,9.99189e-05,9.99189e-05,9.99189e-05,9.99189e-05,0.0389982,0.531694,9.99189e-05,9.99189e-05,9.99189e-05,9.99189e-05
"Latvian",9.99096e-05,9.99096e-05,9.99096e-05,9.99096e-05,9.99096e-05,9.99096e-05,9.99096e-05,0.875122,9.99096e-05,9.99096e-05,0.123879,9.99096e-05
"Macedonian",0.911362,9.99277e-05,9.99277e-05,9.99277e-05,9.99277e-05,0.015938,9.99277e-05,9.99277e-05,0.00818953,0.0637114,9.99277e-05,9.99277e-05
"Marathi",9.99188e-05,9.99188e-05,9.99188e-05,0.458356,9.99188e-05,9.99188e-05,0.0568294,9.99188e-05,9.99188e-05,0.483916,9.99188e-05,9.99188e-05
"Norwegian",0.0827323,9.9964e-05,9.9964e-05,0.0589182,0.0218398,9.9964e-05,0.0367884,0.0166588,0.153122,9.9964e-05,0.0217866,0.607754
"Nepali",9.99279e-05,9.99279e-05,0.0302172,9.99279e-05,9.99279e-05,9.99279e-05,9.99279e-05,0.00998935,0.0323199,0.926674,9.99279e-05,9.99279e-05
"Dutch",9.9946e-05,0.0847014,0.0273621,9.9946e-05,9.9946e-05,0.194152,9.9946e-05,0.134619,9.9946e-05,0.100121,9.9946e-05,0.458445
"Occitan",9.99188e-05,0.518341,0.158257,9.99188e-05,0.322503,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05
"Oriya",9.99185e-05,9.99185e-05,9.99185e-05,0.013705,9.99185e-05,9.99185e-05,9.99185e-05,9.99185e-05,0.458682,0.526714,9.99185e-05,9.99185e-05
"Punjabi",9.99277e-05,0.0510894,9.99277e-05,0.633577,9.99277e-05,9.99277e-05,9.99277e-05,0.157549,9.99277e-05,0.156986,9.99277e-05,9.99277e-05
"Polish",9.9919e-05,9.9919e-05,9.9919e-05,9.9919e-05,9.9919e-05,0.894681,0.0941216,9.9919e-05,9.9919e-05,9.9919e-05,9.9919e-05,0.0102985
"Pashto",9.99368e-05,9.99368e-05,0.512036,0.409767,0.00550421,9.99368e-05,0.00561083,9.99368e-05,9.99368e-05,0.0663825,9.99368e-05,9.99368e-05
"Portuguese",0.0887765,0.722795,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,0.178465,9.99278e-05,9.99278e-05,0.00916356,9.99278e-05
"Romanian",9.99369e-05,0.696444,9.99369e-05,0.0999153,9.99369e-05,0.0920264,0.0666772,9.99369e-05,0.0442371,9.99369e-05,9.99369e-05,9.99369e-05
"Russian",9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,0.00679827,9.99188e-05,0.982946,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,0.00935618
"Sindhi",9.9919e-05,9.9919e-05,0.0190053,0.966803,9.9919e-05,0.013292,9.9919e-05,9.9919e-05,9.9919e-05,9.9919e-05,9.9919e-05,9.9919e-05
"Slovak",9.99189e-05,9.99189e-05,0.00284782,9.99189e-05,9.99189e-05,0.950664,9.99189e-05,9.99189e-05,9.99189e-05,9.99189e-05,0.0455887,9.99189e-05
"Slovenian",0.447389,9.99369e-05,9.99369e-05,0.0349762,9.99369e-05,0.260169,9.99369e-05,0.0996431,9.99369e-05,9.99369e-05,0.157123,9.99369e-05
"Serbian",0.0477868,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,0.0037743,9.99188e-05,9.99188e-05,9.99188e-05,0.94754,9.99188e-05
"Swedish",0.0821509,0.043368,9.99459e-05,9.99459e-05,9.99459e-05,9.99459e-05,9.99459e-05,0.0591058,0.0544401,9.99459e-05,0.0652124,0.695123
"Tajik",9.99098e-05,9.99098e-05,0.88587,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,0.113131,9.99098e-05,9.99098e-05,9.99098e-05
"Ukrainian",0.140489,9.99458e-05,9.99458e-05,0.0819704,9.99458e-05,0.160079,0.570141,0.0368135,9.99458e-05,9.99458e-05,0.00990662,9.99458e-05
"Persian",9.99187e-05,9.99187e-05,0.685548,9.99187e-05,9.99187e-05,9.99187e-05,9.99187e-05,9.99187e-05,0.223234,9.99187e-05,9.99187e-05,0.0903181
"Greek",0.373484,0.08021,0.0303674,0.112473,0.282616,9.994e-05,9.994e-05,0.12025,9.994e-05,9.994e-05,9.994e-05,9.994e-05
"Urdu",9.99278e-05,9.99278e-05,0.0625035,0.907554,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,0.0214847,9.99278e-05,9.99278e-05,0.0076584
"English",9.9955e-05,0.140175,0.010221,9.9955e-05,9.9955e-05,0.0881253,9.9955e-05,0.298376,0.0479383,9.9955e-05,0.0880813,0.326584
"Hindi",0.00490092,9.99369e-05,9.99369e-05,0.781157,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,0.00652744,0.167806,9.99369e-05,0.0389092
