language,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11
French,0.07788304483518643,0.16913484880222387,0.14817244858601475,0.0,0.0,0.0,0.016066694323012866,0.3060579278351193,0.0,0.17038540103894395,0.11229963457949886
Irish,0.12694711954447094,0.20064766052849875,0.0,0.0,0.0,0.0,0.0,0.054289600224657945,0.0,0.021373606458057155,0.5967420132443152
Galician,0.0,0.0,0.9382196716461492,0.0,0.0,0.02362894732103938,0.01728045051752026,0.0,0.02087093051529128,0.0,0.0
Gujarati,0.0,0.0,0.0788585133376315,0.06614801306244178,0.7449714508009284,0.0,0.0,0.0,0.11002202279899838,0.0,0.0
Hindi,0.0,0.0,0.0,0.0,0.8361920280611239,0.0,0.0,0.0,0.06479032598109408,0.0,0.09901764595778204
Croatian,0.0,0.0,0.0,0.9502783624278718,0.0,0.04972163757212815,0.0,0.0,0.0,0.0,0.0
Armenian,0.0,0.0019757056554259643,0.0,0.0,0.0,0.0,0.0,0.0,0.09934139910995177,0.8986828952346223,0.0
Icelandic,0.033322434554918436,0.0,0.08797940419526765,0.0,0.007988499253640133,0.15269252688563578,0.008716297831150993,0.0,0.01576709391327828,0.23682933074048657,0.4567044126256221
Italian,0.03033891993031977,0.0,0.0,0.01697188934146211,0.0,0.0,0.0,0.8709523261173459,0.0,0.0,0.08173686461087228
Kabuverdianu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Luxembourgish,0.03334471591135358,0.0,0.0,0.0,0.0,0.10375543294270814,0.0,0.0,0.0,0.4786179505638119,0.3842819005821265
Lithuanian,0.0,0.0,0.0,0.0,0.0,0.4599843872849133,0.2595824230473575,0.07026409559685089,0.0,0.2101690940708782,0.0
Latvian,0.0,0.0,0.0,0.2732440015093167,0.0,0.0,0.0,0.0,0.0,0.7267559984906833,0.0
Macedonian,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Marathi,0.0,0.0,0.0,0.0,0.7194371698885644,0.0,0.14044837239370184,0.0,0.14011445771773365,0.0,0.0
Norwegian,0.0,0.0,0.0,0.10237592784629662,0.0,0.0,0.10171426902443648,0.0,0.15604293499618158,0.03630571464144674,0.6035611534916385
Nepali,0.0,0.0,0.0,0.0,0.052446186701114283,0.0,0.0,0.056717657543514294,0.6378787474443962,0.2529574083109752,0.0
Dutch,0.04799313233904308,0.0031922527609297715,0.0,0.0,0.0,0.0,0.0,0.06883374552764367,0.0,0.31525887665468844,0.5647219927176952
Occitan,0.0,0.10877964970691127,0.1784932296974287,0.0,0.0,0.0,0.0,0.6308107613838704,0.0,0.0,0.08191635921178964
Oriya,0.0,0.0,0.0,0.0,0.2510911464456956,0.0,0.0,0.0,0.7489088535543044,0.0,0.0
Punjabi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Polish,0.9446705880608309,0.0,0.0,0.0,0.0,0.0,0.05532941193916904,0.0,0.0,0.0,0.0
Pashto,0.0,0.6425592739361068,0.0,0.0,0.2012174303824426,0.0,0.0,0.15622329568145066,0.0,0.0,0.0
Portuguese,0.06728026022705744,0.0,0.0,0.0,0.08320666307662954,0.11535868621624765,0.03984792517515917,0.6943064653049063,0.0,0.0,0.0
Romanian,0.10985749339931386,0.0,0.0,0.0,0.0,0.0,0.05859146770115336,0.5211087825069632,0.0,0.31044225639256956,0.0
Russian,0.0,0.026654088938112965,0.0,0.0,0.0,0.04389357717446409,0.8735181970321697,0.00784347795918674,0.0,0.027954033856230354,0.020136625039836317
Sindhi,0.0,0.0,0.0,0.0,0.9381073957849326,0.0,0.02124380726956185,0.01591813561398125,0.0,0.0,0.02473066133152434
Slovak,0.9553052251254833,0.006155173602808614,0.0,0.025434068909666697,0.0,0.013105532362041374,0.0,0.0,0.0,0.0,0.0
Slovenian,0.27096726960903833,0.0,0.0,0.10741420574300622,0.0,0.3965320367276716,0.0,0.15069818335741417,0.0,0.07438830456286966,0.0
Serbian,0.0,0.0,0.0,0.8744804202449435,0.0,0.11471977289988253,0.008173313577798949,0.0026264932773750476,0.0,0.0,0.0
Swedish,0.0,0.10348128124951247,0.0,0.0680803717423867,0.0,0.0,0.0,0.0,0.02342805353326687,0.02777433497299469,0.7772359585018391
Tajik,0.0,0.9757357183772722,0.0,0.0,0.0,0.0,0.00015875949521892475,0.0,0.02410552212750882,0.0,0.0
Ukrainian,0.09631856844857792,0.0,0.0,0.0,0.0,0.03871861185347899,0.8215179781058134,0.0,0.0,0.0,0.043444841592129746
Urdu,0.0,0.15258398578984822,0.0,0.0,0.6828393046907757,0.0,0.0,0.0,0.0,0.0,0.16457670951937614
