language,A1,A2,A3,A4,A5,A6,A7,A8,A9
Lithuanian,0.058647319677349076,0.0,0.0,0.0,0.0436256613531013,0.0,0.5499832398702366,0.2705349999386558,0.07720877916065724
Latvian,0.24366655839224902,0.0,0.0,0.0,0.5263298286021073,0.13742708897224715,0.0,0.09257652403339664,0.0
Macedonian,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Marathi,0.0,0.1387725779498387,0.0,0.0,0.0,0.7780544329349741,0.0,0.08317298911518708,0.0
Norwegian,0.6151846595176428,0.16381833613540392,0.0,0.0,0.18927243884029465,0.002473668616153762,0.0,0.029250896890504783,0.0
Nepali,0.00872179915718474,0.6921644846593603,0.0,0.0,0.0,0.17029976836759902,0.0,0.0485413941805619,0.08027255363529409
Dutch,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Occitan,0.011418497918021448,0.0,0.11280810614627552,0.18814066174063543,0.0,0.0,0.0,0.0,0.6876327341950677
Oriya,0.0,0.7386169694388813,0.0,0.0,0.0,0.26138303056111856,0.0,0.0,0.0
Punjabi,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Polish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pashto,0.0,0.0,0.6023303850489832,0.0,0.0,0.21433045049027954,0.0,0.0,0.18333916446073734
Portuguese,0.0,0.0,0.0,0.0,0.0025899104232175473,0.09972999887220614,0.15344453528012,0.07726215321995536,0.666973402204501
Romanian,0.0,0.0,0.0,0.0,0.0,0.012046211227112313,0.0,0.4042955890785774,0.5836581996943104
Russian,0.0,0.0,0.025210958812080304,0.0,0.0,0.0,0.021479058218641926,0.8961407763183248,0.05716920665095298
Sindhi,0.05013123998950349,0.0,0.0,0.0,0.0,0.9299305194202995,0.0,0.0,0.019938240590196984
Slovak,0.0,0.0,0.0,0.0,0.23192319961035304,0.0,0.15845549368439257,0.6096213067052543,0.0
Slovenian,0.0693005928411544,0.0,0.0,0.0,0.1329612999872391,0.0,0.44846448754887336,0.23005187020016157,0.11922174942257151
Serbian,0.0,0.00016838161838906348,0.0019540892924036824,0.0,0.8754077996103441,0.0,0.11550686620410791,0.0,0.006962863274755246
Swedish,0.7637384918918373,0.0,0.09802772834857149,0.0,0.10403810552585128,0.0,0.0,0.0,0.03419567423373989
Tajik,0.0,0.005507118210004586,0.9944928817899953,0.0,0.0,0.0,0.0,0.0,0.0
Ukrainian,0.0,0.0,0.0,0.0,0.0,0.0,0.005945409060280064,0.9729918865471364,0.021062704392583478
Urdu,0.04307470729103471,0.0,0.2019604993915653,0.0,0.0,0.7549647933174,0.0,0.0,0.0
