language,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
Icelandic,0.039041539048344176,0.0,0.10149680051395717,0.0,0.006604553688860419,0.1388325023133999,0.008466807983899809,0.0,0.013632053937634687,0.24257817567010734,0.4493475668437965,0.0
Italian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Kabuverdianu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6408862786993454,0.0,0.0,0.0,0.3591137213006546
Luxembourgish,0.029452720685180064,0.0,0.0,0.0,0.0,0.09985353350152362,0.0,0.0,0.0,0.4918364535682877,0.3788572922450085,0.0
Lithuanian,0.0,0.0,0.0,0.0,0.0,0.37733211354509943,0.25493094203892985,0.0,0.0,0.18963887893626202,0.0,0.1780980654797087
Latvian,0.0,0.0,0.0,0.2772113825347684,0.0,0.0,0.0,0.0,0.0,0.6741137750150742,0.0,0.048674842450157435
Macedonian,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Marathi,0.0,0.0,0.0,0.0,0.7276776571042247,0.0,0.1374362894464232,0.0,0.13488605344935217,0.0,0.0,0.0
Norwegian,0.0,0.0,0.0,0.10231047961979466,0.0,0.0,0.10394460509970474,0.0,0.1591942639721792,0.041082831397007136,0.5934678199113141,0.0
Nepali,0.0,0.0,0.0,0.0,0.028162246023966223,0.0,0.0,0.0,0.6197781449222889,0.22442676303655423,0.0,0.12763284601719066
Dutch,0.04300898482001598,0.030528651313854734,0.0,0.0,0.0,0.0,0.0,0.014232926027553609,0.0,0.3198974426835269,0.5754637852148559,0.01686820994019297
Occitan,0.0,0.04516801414447039,0.071737760095867,0.0,0.0,0.0,0.0,0.8830942257596627,0.0,0.0,0.0,0.0
Oriya,0.0,0.0,0.0,0.0,0.2595925450428006,0.0,0.0,0.0,0.7404074549571995,0.0,0.0,0.0
Punjabi,0.0,0.0,0.0,0.0,0.9845636749499199,0.0,0.0,0.0,0.0,0.0,0.0,0.01543632505007996
Polish,0.9387525858379367,0.0,0.0,0.0,0.0,0.0,0.061247414162063155,0.0,0.0,0.0,0.0,0.0
Pashto,0.0,0.694432006539272,0.0,0.0,0.20061102954612833,0.0,0.0,0.1049569639145998,0.0,0.0,0.0,0.0
Portuguese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Romanian,0.04085092067851574,0.0,0.0,0.0,0.0,0.0,0.09806893560235531,0.5127174579902366,0.0,0.31664843954657773,0.0,0.03171424618231465
Russian,0.0,0.008229198090732375,0.0,0.0,0.0,0.0349531931865243,0.88440733117903,0.04213306689711817,0.0,0.02777032927886284,0.002506881367732288,0.0
Sindhi,0.0,0.0,0.0,0.0,0.9440766960415065,0.0,0.01924485432393482,0.0,0.0,0.0,0.03667844963455867,0.0
Slovak,0.9637249827530614,0.0,0.0,0.026141627013477328,0.0,0.01013339023346136,0.0,0.0,0.0,0.0,0.0,0.0
Slovenian,0.22708410982058588,0.0,0.0,0.11509139265650657,0.0,0.4611656693330027,0.0,0.10825422953780348,0.0,0.08840459865210132,0.0,0.0
Serbian,0.0,0.0,0.0,0.8713407070244917,0.0,0.11931693808550059,0.00934235489000773,0.0,0.0,0.0,0.0,0.0
Swedish,0.0,0.11279299318346038,0.0,0.06781019046148436,0.0,0.0,0.0,0.0,0.02679570212923223,0.032712593758702176,0.759888520467121,0.0
Tajik,0.0,0.9309606892358565,0.0,0.0,0.0,0.0,0.012356892872028838,0.0,0.05668241789211472,0.0,0.0,0.0
Ukrainian,0.09312048662516584,0.0,0.0,0.0,0.0,0.04618321097781825,0.8228617478477204,0.0,0.0,0.0,0.037834554549295504,0.0
Urdu,0.0,0.15446288098956418,0.0,0.0,0.6853049009385583,0.0,0.0,0.0,0.0,0.0,0.16023221807187754,0.0
