language,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13
Kabuverdianu,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luxembourgish,0.0,0.03502172852169949,0.0,0.0,0.0,0.041154075493290254,0.0,0.0,0.0,0.022770819130218226,0.0,0.7260811253475998,0.17497225150719206
Lithuanian,0.0,0.0,0.0,0.42234736562756947,0.0,0.4163374425591487,0.16131519181328177,0.0,0.0,0.0,0.0,0.0,0.0
Latvian,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macedonian,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marathi,0.0,0.0,0.0,0.0,0.7099024351047717,0.0,0.13485794755316396,0.0,0.15523961734206437,0.0,0.0,0.0,0.0
Norwegian,0.0,0.0,0.0,0.0,0.0,0.0,0.07709386404862775,0.0,0.11572885856833119,0.10294429253707718,0.08670296210162313,0.0,0.6175300227443408
Nepali,0.0,0.0,0.0,0.2584382862191207,0.0,0.0,0.0,0.0,0.6773904350988472,0.0,0.0,0.06417127868203215,0.0
Dutch,0.049635358774452125,0.009430495765775695,0.041763223181741076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5801645956264594,0.3190063266515717
Occitan,0.6506662051413739,0.0,0.10453760968561567,0.0,0.0,0.0,0.0,0.15934545754554996,0.0,0.0063996627946206214,0.0,0.0,0.07905106483283977
Oriya,0.0,0.0,0.0,0.0,0.21723958434983345,0.0,0.0,0.0,0.7827604156501666,0.0,0.0,0.0,0.0
Punjabi,0.0,0.0,0.0,0.0729190340141383,0.9270809659858618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polish,0.0,0.9477381226146273,0.0,0.0,0.0,0.0,0.05226187738537262,0.0,0.0,0.0,0.0,0.0,0.0
Pashto,0.09679410520029245,0.0,0.7370015250320338,0.0,0.16620436976767378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portuguese,0.6942595958264866,0.0372949040696676,0.0,0.10451290437811829,0.032597791327314656,0.11261918788916628,0.0187156165092467,0.0,0.0,0.0,0.0,0.0,0.0
Romanian,0.5590981997039963,0.09763726647170941,0.0,0.0,0.0,0.0,0.039353275603843475,0.0,0.0,0.2805349095647481,0.0,0.023376348655702702,0.0
Russian,0.0024500892058718624,0.0,0.021940909841080856,0.0,0.0,0.049410722222508176,0.855920183288521,0.0,0.0,0.0,0.0,0.05884258479865575,0.011435510643362267
Sindhi,0.015114834747842488,0.0,0.0,0.0,0.9723339079387555,0.0,0.012551257313402118,0.0,0.0,0.0,0.0,0.0,0.0
Slovak,0.0,0.9411970027954906,0.0,0.03897945130007778,0.0,0.019823545904431684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenian,0.1185318956501184,0.24581672994144343,0.0,0.0,0.0,0.3528031887390318,0.0,0.0,0.0,0.0,0.14124549865951133,0.14160268700989498,0.0
Serbian,0.0035070353703775302,0.0,0.0,0.0,0.0,0.07143770304452629,0.015012943893368685,0.0,0.0,0.0,0.9100423176917275,0.0,0.0
Swedish,0.0,0.0,0.11269189065164423,0.06828576301818473,0.0,0.0,0.0,0.0,0.017358025268231367,0.0,0.02081346408833019,0.0742384024339626,0.7066124545396468
Tajik,0.0,0.0,0.8978048511778332,0.0,0.0,0.0,0.0,0.0,0.023055277643015418,0.07913987117915137,0.0,0.0,0.0
Ukrainian,0.0,0.0902066505783884,0.0,0.0,0.0,0.04218268042237879,0.8033268177629076,0.0,0.0,0.011785897143203406,0.0,0.0,0.052497954093121725
Urdu,0.0,0.0,0.1487884393348969,0.0,0.6844129099603508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16679865070475225
