language,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
Persian,0.0,0.8009822330909284,0.0,0.0,0.0,0.0,0.0,0.0,0.05264287006400673,0.14637489684506488,0.0,0.0,0.0,0.0
French,0.022430844499188578,0.07871677356733818,0.011310030586089459,0.0,0.0,0.0,0.07246229097157719,0.5338342367989923,0.0,0.03344951624641767,0.0,0.24779630733039665,0.0,0.0
Irish,0.1024178781884561,0.23115275637790245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643374200128235,0.055632046626454976,0.44649970142377754,0.1615332799633961
Galician,0.0,0.0,0.9530375934217105,0.0,0.0,0.0,0.0,0.0,0.0016942550053873754,0.000768732608450699,0.0,0.0,0.0,0.0444994189644514
Gujarati,0.0,0.0,0.08481736735047547,0.04577537684376336,0.6627936918489321,0.0,0.0,0.0,0.14070391355087816,0.0,0.06590965040595087,0.0,0.0,0.0
Hindi,0.0,0.0,0.0,0.0,0.8366078179827805,0.0,0.0,0.0,0.06178199224829541,0.0,0.0,0.0,0.10161018976892418,0.0
Croatian,0.010849005880940912,0.0,0.0,0.9636477692659435,0.0,0.0,0.0,0.0,0.0,0.025503224853115625,0.0,0.0,0.0,0.0
Armenian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Icelandic,0.06764440708253278,0.0,0.11176138423296199,0.0,0.012069949351028304,0.12090333004993781,0.004259839723705502,0.0,0.0,0.03338697881432919,0.03096128233802431,0.19506364417054325,0.42394918423693684,0.0
Italian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kabuverdianu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6405711514894203,0.0,0.0,0.0,0.0,0.0,0.3594288485105796
Luxembourgish,0.03909898838310032,0.0,0.0,0.0,0.0,0.04266929882331318,0.0,0.0,0.0,0.024168186261297984,0.0,0.6872906526791109,0.20384066277849414,0.002932211074683334
Lithuanian,0.0,0.0,0.0,0.0,0.0,0.3993742196559305,0.16341071975091026,0.0,0.0,0.0,0.3879892597410277,0.0,0.0,0.049225800852131456
Latvian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Macedonian,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marathi,0.0,0.0,0.0,0.0,0.7164443387429322,0.0,0.13383140932772492,0.0,0.14972425192934288,0.0,0.0,0.0,0.0,0.0
Norwegian,0.0,0.0,0.0,0.08258872299351144,0.0,0.0,0.0780612789907409,0.0,0.12110463234508616,0.10163749585091661,0.0,0.0,0.6166078698197448,0.0
Nepali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.652111183246732,0.0,0.21965065504651077,0.06303054387938016,0.0,0.06520761782737727
Dutch,0.01126305446060359,0.05332357687338951,0.0,0.0,0.0,0.0,0.0,0.04993806562007303,0.0,0.0,0.0,0.5577046173697703,0.32765747607717616,0.00011320959898753033
Occitan,0.0,0.0352042477733106,0.06008834450386746,0.0,0.0,0.0,0.0,0.8954548550052405,0.0,0.009252552717581523,0.0,0.0,0.0,0.0
Oriya,0.0,0.0,0.0,0.0,0.22753832242174304,0.0,0.0,0.0,0.772461677578257,0.0,0.0,0.0,0.0,0.0
Punjabi,0.0,0.0,0.0,0.0,0.924504649296636,0.0,0.0,0.0,0.0,0.0,0.07549535070336394,0.0,0.0,0.0
Polish,0.9434078023617339,0.0,0.0,0.0,0.0,0.0,0.05659219763826612,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pashto,0.0,0.8057745916325051,0.0,0.0,0.15585596200766327,0.0,0.0,0.03836944635983161,0.0,0.0,0.0,0.0,0.0,0.0
Portuguese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Romanian,0.038404759462537366,0.0,0.0,0.0,0.0,0.0,0.08471462285689606,0.4988308813994864,0.0,0.23476132248776857,0.0,0.08209288999110399,0.0,0.06119552380220764
Russian,0.0,0.0025525174101652575,0.0,0.0,0.0,0.04276934410812823,0.8608520116148718,0.03772366076144624,0.0,0.0,0.0,0.05610246610538849,0.0,0.0
Sindhi,0.0,0.0,0.0,0.0035834062459294434,0.9772903938517242,0.0,0.014649425912405619,0.004476773989940716,0.0,0.0,0.0,0.0,0.0,0.0
Slovak,0.947380007174328,0.0,0.0,0.0,0.0,0.012964040571978945,0.0,0.0,0.0,0.0,0.03965595225369305,0.0,0.0,0.0
Slovenian,0.2219783619116194,0.0,0.0,0.14884096940184477,0.0,0.3960624378480524,0.0,0.08257542094335119,0.0,0.0,0.0,0.15054280989513222,0.0,0.0
Serbian,0.0,0.0,0.0,0.9095677912281441,0.0,0.07238893238748856,0.01593366391685171,0.0,0.0,0.0,0.0,0.0,0.0,0.002109612467515589
Swedish,0.0,0.1176007504007709,0.0,0.01007893904564534,0.0,0.0,0.0,0.0,0.027217775744559462,0.0,0.07420317759535516,0.0687263327363567,0.7021730244773124,0.0
Tajik,0.0,0.8413453307102305,0.0,0.0,0.0,0.0,0.0,0.0,0.05449690488007341,0.10415776440969604,0.0,0.0,0.0,0.0
Ukrainian,0.08939121310661004,0.0,0.0,0.0,0.0,0.04683797008256703,0.8000379438356539,0.0,0.0,0.011794074615360613,0.0,0.0,0.05193879835980851,0.0
Urdu,0.0,0.15033565203471144,0.0,0.0,0.6842173482702795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16544699969500914,0.0
