language,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11
Lithuanian,0.21996562,0.25986296,0.0,0.0,0.0,0.0,0.0,0.5201714,0.0,0.0,0.0
Latvian,0.0,0.282583,0.026995523,0.0,0.0,0.0,0.0029068626,0.0,0.0,0.0,0.6875146
Macedonian,0.0,0.0,0.16385365,0.0,0.098514706,0.0,0.0070611937,0.7305705,0.0,0.0,0.0
Marathi,0.06500301,0.0,0.0,0.0,0.04926049,0.0,0.0,0.0,0.04477913,0.8409574,0.0
Norwegian,0.0,0.0,0.0,0.0,0.014686618,0.0,0.147816,0.0,0.0,0.053485975,0.7840114
Nepali,0.021010634,0.33003026,0.0,0.0,0.53758717,0.0,0.0,0.0,0.0,0.11137196,0.0
Dutch,0.0,0.13338986,0.09151529,0.0045396048,0.0,0.0,0.26945958,0.005726807,0.49536887,0.0,0.0
Occitan,0.0,0.0,0.01749335,0.04542167,0.00065751886,0.13817391,0.039436195,0.0,0.7014225,0.057394862,0.0
Oriya,0.0,0.0,0.0,0.0,0.29144892,0.0,0.0,0.0,0.0,0.66515267,0.04339842
Punjabi,0.0,0.030824237,0.0,0.0,0.0,0.015398558,0.0,0.0,0.0,0.9537772,0.0
Polish,0.34610707,0.0,0.6274554,0.0,0.0,0.026437424,0.0,0.0,0.0,0.0,0.0
Pashto,0.18361256,0.0066359476,0.0,0.12144538,0.0,0.01790919,0.0,0.0,0.015103225,0.6552937,0.0
Portuguese,0.0,0.2653815,0.0,0.0,0.0,0.12029702,0.0,0.4120594,0.20226213,0.0,0.0
Romanian,0.11407554,0.006168006,0.03167502,0.0,0.009603267,0.0,0.0,0.02005684,0.73814756,0.080273785,0.0
Russian,0.7945253,0.0,0.026772311,0.00773364,0.0,0.0,0.02942154,0.02006144,0.09983765,0.0,0.021648094
Sindhi,0.04074916,0.0,0.010212388,0.0,0.0,0.0,0.0072961757,0.0,0.038444243,0.88843596,0.014862092
Slovak,0.0,0.019493379,0.669446,0.018941851,0.0,0.011448929,0.0,0.0,0.0,0.0,0.28066987
Slovenian,0.07473474,0.0,0.16337354,0.0062940037,0.0,0.0,0.0,0.1550135,0.06739968,0.014986004,0.51819855
Serbian,0.011535337,0.0,0.0,0.0,0.0,0.0,0.0,0.026383534,0.0,0.0,0.96208113
Swedish,0.009261319,0.009802712,0.0,0.021845995,0.004543272,0.0,0.15584426,0.0,0.10961337,0.0,0.6890891
Tajik,0.027998513,0.0,0.078790106,0.8474323,0.03946491,0.0,0.0,0.0,0.0,0.006314221,0.0
Ukrainian,0.6573426,0.0,0.06560103,0.0,0.0,0.0,0.009027106,0.020305794,0.0,0.0,0.24772337
Urdu,0.012081062,0.0,0.0,0.026755271,0.006500275,0.0,0.031564765,0.0,0.0,0.92309856,0.0
