language,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13
Marathi,0.0,0.10069272,0.0,0.0,0.2002998,0.0,0.0,0.0,0.37856874,0.0,0.32043874,0.0,0.0
Norwegian,0.08472855,0.0,0.0,0.0,0.002448317,0.0,0.0,0.0,0.028939774,0.6802693,0.19227256,0.011341491,0.0
Nepali,0.0,0.0062605226,0.0,0.0,0.20529589,0.0,0.0,0.0,0.006689322,0.0,0.0,0.6424969,0.13925743
Dutch,0.0,0.0,0.01082259,0.001984975,0.015637597,0.015785707,0.18775308,0.015669052,0.0,0.02226237,0.0,0.73008466,0.0
Occitan,0.0,0.0,0.0,0.050166935,0.0,0.13693398,0.08897516,0.0,0.0,0.0,0.38228637,0.0,0.3416376
Oriya,0.023975525,0.0,0.0,0.0,0.78393674,0.0,0.0,0.0,0.19208778,0.0,0.0,0.0,0.0
Punjabi,0.0,0.0,0.0,0.0,0.0,0.024431793,0.0,0.0,0.25755724,0.0,0.0,0.5121551,0.20585585
Polish,0.0,0.22070502,0.75148046,0.0,0.0049507716,0.014178893,0.0,0.0,0.0,0.008684868,0.0,0.0,0.0
Pashto,0.0,0.16548465,0.0,0.2420441,0.0,0.04692255,0.0,0.0,0.14395164,0.0,0.0,0.40159702,0.0
Portuguese,0.0,0.0,0.0065606246,0.0,0.0,0.0046328865,0.0,0.0,0.0036629622,0.0,0.0,0.0,0.98514354
Romanian,0.0,0.019197084,0.013784354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5525998,0.0,0.41441876
Russian,0.0,0.7523281,0.021249551,0.017555453,0.0,0.008912621,0.081218004,0.014464899,0.0,0.034211457,0.07005985,0.0,0.0
Sindhi,0.09595364,0.10548015,0.0,0.0,0.0,0.0,0.16454433,0.0,0.6340219,0.0,0.0,0.0,0.0
Slovak,0.06325418,0.0,0.6132667,0.025460824,0.0,0.0,0.0,0.014364282,0.0,0.0,0.0,0.283654,0.0
Slovenian,0.14342421,0.060108434,0.24043888,0.0,0.0,0.0,0.0,0.22838506,0.0,0.0,0.32764348,0.0,0.0
Serbian,0.8068434,0.0368808,0.0,0.0,0.0,0.0006247804,0.0,0.08579652,0.0,0.0,0.0,0.0,0.06985448
Swedish,0.0,0.0,0.0,0.016015012,0.0,0.0,0.0,0.018666662,0.0,0.32485917,0.29539242,0.34506673,0.0
Tajik,0.0,0.022043303,0.055946138,0.87602466,0.028827425,0.0,0.0,0.0,0.017158456,0.0,0.0,0.0,0.0
Ukrainian,0.0,0.66912836,0.112647206,0.0,0.0,0.0,0.0,0.019060956,0.0,0.12099672,0.07816673,0.0,0.0
Urdu,0.0,0.021742836,0.0,0.14071026,0.0,0.0,0.0,0.0,0.5666873,0.27085957,0.0,0.0,0.0
