language,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
Armenian,0.0,0.14950465,0.15584207,0.0,0.11670345,0.040423032,0.0,0.0,0.12940903,0.0,0.4081178,0.0
Icelandic,0.0,0.0,0.0,0.0,0.0026303814,0.0041231452,0.019794846,0.038849402,0.0,0.0,0.9346022,0.0
Italian,0.2696824,0.12969762,0.09527695,0.024044642,0.034411572,0.18600158,0.0,0.0,0.026830079,0.0,0.0035788533,0.23047635
Kabuverdianu,0.5441113,0.11720337,0.0,0.0,0.0,0.09895158,0.0,0.014182296,0.014084419,0.034533545,0.0,0.17693344
Luxembourgish,0.0,0.3413414,0.0,0.0,0.027419444,0.0,0.064459205,0.055321515,0.0,0.0,0.5114584,0.0
Lithuanian,0.28293315,0.0,0.0,0.0,0.0,0.0,0.046549425,0.09387203,0.0,0.0,0.10821821,0.46842715
Latvian,0.07307772,0.0,0.004009782,0.20253038,0.0,0.0,0.7203821,0.0,0.0,0.0,0.0,0.0
Macedonian,0.0,0.0,0.11436836,0.0,0.15371703,0.0,0.0,0.73191464,0.0,0.0,0.0,0.0
Marathi,0.0,0.014093746,0.0,0.0,0.07256343,0.0,0.0,0.0,0.0,0.5643445,0.0,0.34899825
Norwegian,0.007600036,0.0,0.0,0.0187638,0.01020638,0.0,0.0,0.0,0.0,0.044289745,0.91914004,0.0
Nepali,0.066147104,0.0,0.0,0.0,0.59036994,0.0,0.19778796,0.0,0.0,0.018928824,0.0,0.12676612
Dutch,0.0,0.2358541,0.0,0.0,0.0,0.0,0.15514413,0.056668784,0.0,0.0,0.552333,0.0
Occitan,0.2218227,0.33719367,0.00075537,0.0,0.0,0.34304842,0.0,0.0,0.097179815,0.0,0.0,0.0
Oriya,0.0,0.0,0.0,0.004996154,0.4828748,0.0,0.0,0.0,0.0,0.512129,0.0,0.0
Punjabi,0.04128572,0.0,0.0,0.0,0.0,0.01958755,0.030766038,0.0,0.0,0.9083607,0.0,0.0
Polish,0.0,0.0,0.30052054,0.0,0.0,0.0012221629,0.0,0.0,0.0,0.0,0.04135559,0.6569017
Pashto,0.0,0.0,0.0,0.0,0.0,0.0186043,0.018620798,0.0,0.07956026,0.2925613,0.0,0.59065336
Portuguese,0.82165414,0.0,0.029292747,0.0,0.0,0.030041086,0.0,0.0,0.0,0.119012006,0.0,0.0
Romanian,0.23463582,0.13042468,0.030046904,0.0,0.007471034,0.031602673,0.0,0.0,0.01503714,0.0,0.0,0.5507818
Russian,0.0,0.014924626,0.0033197687,0.00061428774,0.0,0.0,0.0,0.0018806761,0.0012680739,0.0,0.041299026,0.93669355
Sindhi,0.0,0.03862657,0.0,0.011060879,0.0,0.0,0.0,0.0,0.0,0.7630346,0.0,0.18727797
Slovak,0.0,0.0,0.8618859,0.042927887,0.0,0.0,0.041648857,0.03579174,0.017745603,0.0,0.0,0.0
Slovenian,0.0,0.011105289,0.20453644,0.04424014,0.0,0.0,0.00052045705,0.14957745,0.009523218,0.017242102,0.0,0.56325495
Serbian,0.0,0.0,0.0,0.4836881,0.0,0.0011629398,0.0,0.10783112,0.0,0.0,0.0,0.40731794
Swedish,0.025064146,0.020089172,0.0022957406,0.006827196,0.0,0.0,0.009968053,0.0,0.018342853,0.007960242,0.82864493,0.08080772
Tajik,0.0,0.0,0.059550278,0.0,0.045481894,0.0,0.0,0.0,0.71606225,0.09075637,0.0,0.088149205
Ukrainian,0.0,0.0,0.023034139,0.0,0.0,0.0,0.0,0.0017177411,0.0,0.0,0.082169205,0.8930789
Urdu,0.0,0.0,0.0,0.0,0.003627644,0.0,0.0,0.0,0.025410874,0.6417979,0.29856062,0.030602984
